train_input_1,train_output_1,train_output_2
0mZ^r? y^  U/S 3,"0mZ^r?
y^

U/S
3",12
    3@eMDDO u3,"



3@eMDDO
u3",9
",`^ H!",",`^
H!",5
 /&7C6 m   N ./ x),"
/&7C6
m


N
./
x)",11
:U>kl -Y Nzlwpb7,":U>kl
-Y
Nzlwpb7",14
"# B /   SxW ""2, 4{","#
B
/


SxW
""2,
4{",11
 7 -\9 7]K,"
7
-\9
7]K",7
> c!^*fH Qsq N/r ,">
c!^*fH
Qsq
N/r
",13
"5_d N_,  (","5_d
N_,

(",7
j3[9o(H 7-DnqbT ,"j3[9o(H
7-DnqbT
",14
rg 9ac} 2|},"rg
9ac}
2|}",9
]o.6  `!NhWLx,"]o.6

`!NhWLx",11
phZ)2| :  $A3(qI},"phZ)2|
:

$A3(qI}",14
- }^ +   ,"-
}^
+


",4
"  w8dRIqM9d\YBO`""mtt","

w8dRIqM9d\YBO`""mtt",18
 VY $ } jw,"
VY
$
}
jw",6
=Q'VVz 7 ,"=Q'VVz
7
",7
j ~[Obl6,"j
~[Obl6",7
>Tf,>Tf,3
f`UM,f`UM,4
 } VSM,"
}
VSM",4
T~PgviP8X?P @/J,"T~PgviP8X?P
@/J",14
"q' &tR~ < i,","q'
&tR~
<
i,",9
 69Aw)\UTYJ#V*W%ufa,"
69Aw)\UTYJ#V*W%ufa",18
C/Z,C/Z,3
$  e0r=u@aH/6 \ ,"$

e0r=u@aH/6
\
",12
w 2m,"w
2m",3
M* M,"M*
M",3
8X_*8   T\~B,"8X_*8


T\~B",9
XfY,XfY,3
Z / ] D,"Z
/
]
D",4
X1b9cW,X1b9cW,6
 lC ?`%s~A /gcd`/}],"
lC
?`%s~A
/gcd`/}]",16
Uo=6b^Wl}=  ,"Uo=6b^Wl}=

",10
"- r, e","-
r,
e",4
 8[ ,"
8[
",2
""" W zIS  @","""
W
zIS

@",6
"' ,v ","'
,v
",3
AJ{TJ W6,"AJ{TJ
W6",7
     8SK\ m3i0GF,"




8SK\
m3i0GF",10
a_[6/bO6 cy9P,"a_[6/bO6
cy9P",12
"g  P+:4 ]  i""8  'R? ","g

P+:4
]

i""8

'R?
",12
  ;t$q)B -IAk-yT  E ,"

;t$q)B
-IAk-yT

E
",14
QG N5DXOE,"QG
N5DXOE",8
 1Z~ TGw*-G0oh9yRk,"
1Z~
TGw*-G0oh9yRk",16
  himpxVK &J~G}Av [,"

himpxVK
&J~G}Av
[",15
M=e a:]NTF}Z,"M=e
a:]NTF}Z",11
.}h b&!~( ;,".}h
b&!~(
;",9
g y DKDMq,"g
y
DKDMq",7
(e#I3tAT6@*K,(e#I3tAT6@*K,12
KYt'Z=~ - W <(z =),"KYt'Z=~
-
W
<(z
=)",14
BzD,BzD,3
O$>~,O$>~,4
L9{ }Y,"L9{
}Y",5
"-:s2,  deO~a ","-:s2,

deO~a
",10
 k/\ c v&3|BH% 9rk y,"
k/\
c
v&3|BH%
9rk
y",15
G] b)BQO ${9  e1:'4,"G]
b)BQO
${9

e1:'4",15
>5]]DiWT '/,">5]]DiWT
'/",10
h`Z5; ^{,"h`Z5;
^{",7
I0;]z ,"I0;]z
",5
", y",",
y",2
#=`|u E{i5CB. u,"#=`|u
E{i5CB.
u",13
HE,HE,2
_Q? b 3h j+{t STa ,"_Q?
b
3h
j+{t
STa
",13
G)6 W e8 D)XaD,"G)6
W
e8
D)XaD",11
d  H},"d

H}",3
h<YO ,"h<YO
",4
W9:< Ma;X8?u,"W9:<
Ma;X8?u",11
 jKgK 2fk  j/oZ-Zsd,"
jKgK
2fk

j/oZ-Zsd",15
:z-} Y 'KGU *,":z-}
Y
'KGU
*",10
B! >Z+sTKlE!M $,"B!
>Z+sTKlE!M
$",13
_dy/^~nD# Wj _,"_dy/^~nD#
Wj
_",12
~ )LRfS:Wd g}g=UxHi/,"~
)LRfS:Wd
g}g=UxHi/",18
 ^Q@X [w1V?a,"
^Q@X
[w1V?a",10
 Z-|?uFOFI g,"
Z-|?uFOFI
g",10
" cjXF,aub6 6747UZw]o","
cjXF,aub6
6747UZw]o",18
M1YrP<A| V>U qwQ,"M1YrP<A|
V>U
qwQ",14
/!; :/`BK,"/!;
:/`BK",8
]. ?SSgNQgB $edf^ ,"].
?SSgNQgB
$edf^
",15
Upe 6kO0  ? Z ,"Upe
6kO0

?
Z
",9
L2DF]Ca f -%*nCc ,"L2DF]Ca
f
-%*nCc
",14
  62 B I6 !,"

62
B
I6
!",6
y@fMw9  ,"y@fMw9

",6
@LB$M # +5,"@LB$M
#
+5",8
o 1m Jc ,"o
1m
Jc
",5
.> RN k ,".>
RN
k
",5
 r he,"
r
he",3
O+w gwX+ ]~He2 D8 e,"O+w
gwX+
]~He2
D8
e",15
"JzY ""k -tbKNd,I","JzY
""k
-tbKNd,I",13
sNSFg<gRW yJ;q( d,"sNSFg<gRW
yJ;q(
d",15
"K   ""","K


""",2
 c~a 5xQB ,"
c~a
5xQB
",7
"+\53E} G|A=e,+YK IQu","+\53E}
G|A=e,+YK
IQu",18
L\fQ(| ,"L\fQ(|
",6
 \',"
\'",2
C&,C&,2
"gzQm|v;,t ","gzQm|v;,t
",9
|t ; oFEC:^ Xq9Lj,"|t
;
oFEC:^
Xq9Lj",14
"YZ, y  |H`Gqt","YZ,
y

|H`Gqt",10
" ,=Y C??'W EH |L!DfF","
,=Y
C??'W
EH
|L!DfF",16
)0 ,")0
",2
 xVY!;* $,"
xVY!;*
$",7
tY!F28  %n;a3ZjDw,"tY!F28

%n;a3ZjDw",15
 },"
}",1
 ~?Kz Q  ,"
~?Kz
Q

",5
Ii'zd1,Ii'zd1,6
^ _/oKU| Xnhp,"^
_/oKU|
Xnhp",11
  N t+ UhOK< :,"

N
t+
UhOK<
:",9
"u""q","u""q",3
E2%+i rW waFzfrd  N7,"E2%+i
rW
waFzfrd

N7",16
" 3u,rD  GDE ","
3u,rD

GDE
",8
_=P*X&K gj X#,"_=P*X&K
gj
X#",11
C%& bK-:M3 L W`/)6 +,"C%&
bK-:M3
L
W`/)6
+",16
  _ W ?G   1%}cP,"

_
W
?G


1%}cP",9
ou,ou,2
F-Ia,F-Ia,4
/(lQ%,/(lQ%,5
|L,|L,2
 4 k ,"
4
k
",2
SD,SD,2
. .L e2 ,".
.L
e2
",5
 co4|q5 njO?y,"
co4|q5
njO?y",11
2sqq)JeBGR< ,"2sqq)JeBGR<
",11
" e:IWH&,A","
e:IWH&,A",8
_ E  z> u< lA pX3m(,"_
E

z>
u<
lA
pX3m(",13
My!,My!,3
 eJ },"
eJ
}",3
?<(),?<(),4
 ^,"
^",1
BPBb g,"BPBb
g",5
'X,'X,2
Fl9Riy,Fl9Riy,6
" oG;~Z.OY dP =""o!8/:","
oG;~Z.OY
dP
=""o!8/:",17
i@@Vx1B]S!,i@@Vx1B]S!,10
" ]I&6'xST,K7^ V C","
]I&6'xST,K7^
V
C",14
"F:Xr ,a  1N^F!  /","F:Xr
,a

1N^F!

/",12
N Uf>,"N
Uf>",4
Nx30,Nx30,4
4 j :I+w0_'W<>P} vi,"4
j
:I+w0_'W<>P}
vi",16
U( ((o]AFB Y ,"U(
((o]AFB
Y
",10
$ 0K,"$
0K",3
    T|+cK LT,"



T|+cK
LT",7
D+Ny $M1Sx 6H,"D+Ny
$M1Sx
6H",11
`l,`l,2
K_5YY:Wg  BD,"K_5YY:Wg

BD",10
5eScF,5eScF,5
.J1o<$n?3]F\-7bN ,".J1o<$n?3]F\-7bN
",16
s}rk ;1F~3,"s}rk
;1F~3",9
h ~8 h  XVY z02 Qe,"h
~8
h

XVY
z02
Qe",12
Yj r61y ~0GB VP,"Yj
r61y
~0GB
VP",12
8*F% DB| R),"8*F%
DB|
R)",9
cO|Z [)=x<C <R Qm,"cO|Z
[)=x<C
<R
Qm",14
]8u5f)Y5Qqp\(<t~,]8u5f)Y5Qqp\(<t~,16
?GfTGOLla 8 s o,"?GfTGOLla
8
s
o",12
l[[i.N YP~,"l[[i.N
YP~",9
U?E0Vfe%7,U?E0Vfe%7,9
 '1\ an;Z6,"
'1\
an;Z6",8
 Y* ZN,"
Y*
ZN",4
Sb#zp+%KrqI\%b~ v;',"Sb#zp+%KrqI\%b~
v;'",18
"8| "",Tm { AtZz\5","8|
"",Tm
{
AtZz\5",13
f  C,"f

C",2
xvaz 5.,"xvaz
5.",6
 8b}y{,"
8b}y{",5
J$*B@g6Y5,J$*B@g6Y5,9
LSr gT/ ,"LSr
gT/
",6
w0c,w0c,3
Vc |MC#4  e !F# M),"Vc
|MC#4

e
!F#
M)",13
xI;7'mS NA e6_:If,"xI;7'mS
NA
e6_:If",15
  Ly!4Z0d  n&( S t,"

Ly!4Z0d

n&(
S
t",12
"H}[, oJ#R ","H}[,
oJ#R
",8
# <2A,"#
<2A",4
+=%YWjvoV#O2P?WCIM,+=%YWjvoV#O2P?WCIM,18
"  tD P,`t","

tD
P,`t",6
2 yvT. Mo  0`,"2
yvT.
Mo

0`",9
ua `_! gI =Z8D_,"ua
`_!
gI
=Z8D_",12
Dgu+@h j F9V@,"Dgu+@h
j
F9V@",11
"`C;MLDV!""""TP","`C;MLDV!""""TP",12
" 39S#;Ah j - !,7U","
39S#;Ah
j
-
!,7U",13
K(U5  Z&pIUoq,"K(U5

Z&pIUoq",11
h9 ,"h9
",2
OY @}X 'b5p2?kG y ,"OY
@}X
'b5p2?kG
y
",14
C :kB[ &,"C
:kB[
&",6
"<-},  Ye 6wNT O","<-},

Ye
6wNT
O",11
<`e+w Sh/_f  ,"<`e+w
Sh/_f

",10
&$rMd0X @e_K#%,"&$rMd0X
@e_K#%",13
"~RMn 05;7,J37 V +t ","~RMn
05;7,J37
V
+t
",15
o } EE 1u:^(&i ,"o
}
EE
1u:^(&i
",11
  NP/ 6,"

NP/
6",4
  Y|,"

Y|",2
J&}kXSpm,J&}kXSpm,8
c?wg=,c?wg=,5
" "" Z Q M ()lY ^    ","
""
Z
Q
M
()lY
^



",9
}]G <z3HItqMW3);,"}]G
<z3HItqMW3);",15
oB<IC | ,"oB<IC
|
",6
12H`_|dJ|Pc/ 0 F: ,"12H`_|dJ|Pc/
0
F:
",15
ZD.j5R ,"ZD.j5R
",6
    T5 9_9`=JO,"



T5
9_9`=JO",9
OYtF IASd: %3 $T,"OYtF
IASd:
%3
$T",13
/JFbd gg$ | =?  :,"/JFbd
gg$
|
=?

:",12
xX~B  8 . D( \ ,"xX~B

8
.
D(
\
",9
quX  +  ^GA/iKM,"quX

+

^GA/iKM",11
l   S\l2 ? 38,"l


S\l2
?
38",8
0 ch:  | a96 *gx%K6W,"0
ch:

|
a96
*gx%K6W",15
 ACo )' p.Qdk4,"
ACo
)'
p.Qdk4",11
j - ;`gVt@  ,"j
-
;`gVt@

",8
YvLt`! v< ,"YvLt`!
v<
",8
n 3*q`Y9Mt s0 bP,"n
3*q`Y9Mt
s0
bP",13
"""dS;D 'W","""dS;D
'W",7
S!zhJu  S,"S!zhJu

S",7
i.X  bwjl)*~E=,"i.X

bwjl)*~E=",12
|a~h  Q;` X{7_`{ ,"|a~h

Q;`
X{7_`{
",13
c  n'z!,"c

n'z!",5
? L.:,"?
L.:",4
5TWM~ 2I  =@,"5TWM~
2I

=@",9
"(-R^K n}a"" ","(-R^K
n}a""
",9
@Y0ppI+}k0n;3 ,"@Y0ppI+}k0n;3
",13
A JhfC : ,"A
JhfC
:
",6
/: w  AxdH <  *u,"/:
w

AxdH
<

*u",10
" b1,/[ ","
b1,/[
",5
Dgi| * >q zC v!,"Dgi|
*
>q
zC
v!",11
%N  ^  {x;,"%N

^

{x;",6
.y_~ *^ :P Z>*I^ ,".y_~
*^
:P
Z>*I^
",13
KKe,KKe,3
"~+4&o %vE#O 2=5""  :9","~+4&o
%vE#O
2=5""

:9",16
   u,"


u",1
 E -  f#2,"
E
-

f#2",5
S #WL$/@>,"S
#WL$/@>",8
cU n;q~,"cU
n;q~",6
 xz  '+Q b O,"
xz

'+Q
b
O",7
"H Umq /?\-tS T   "" ","H
Umq
/?\-tS
T


""
",12
~| fEq JOA|f,"~|
fEq
JOA|f",10
*S2 p  ,"*S2
p

",4
]dp8__JM=w |,"]dp8__JM=w
|",11
M$@!,M$@!,4
g)0R4jcG#lqdV*#>X,g)0R4jcG#lqdV*#>X,17
  25O[i ,"

25O[i
",5
=C DKj,"=C
DKj",5
o^`#  9tUwR9,"o^`#

9tUwR9",10
"d Cn #6k w ,% 8-%","d
Cn
#6k
w
,%
8-%",12
"8R=h<N,","8R=h<N,",7
m4,m4,2
g2 \ Rx:A{,"g2
\
Rx:A{",8
   f ^~x,"


f
^~x",4
N.0%M,N.0%M,5
u_7pY) %.U,"u_7pY)
%.U",9
v& u.m)i {R,"v&
u.m)i
{R",9
\v]G>Pv y EF |I) 0,"\v]G>Pv
y
EF
|I)
0",14
?><; 7%lR17mx(po\,"?><;
7%lR17mx(po\",16
"{ ,F28 1_1  y^ M","{
,F28
1_1

y^
M",11
"'xit""  t","'xit""

t",6
"g_!06.5t?# H@K `K,","g_!06.5t?#
H@K
`K,",16
dmyvd| )J,"dmyvd|
)J",8
" ]EC( `{+k3hRT <,NwS","
]EC(
`{+k3hRT
<,NwS",17
u c,"u
c",2
  cF,"

cF",2
?OII Q9,"?OII
Q9",6
"  Az,s*","

Az,s*",5
>H5% di'AK,">H5%
di'AK",9
_Z(d c7TwV- %7W,"_Z(d
c7TwV-
%7W",13
")wCG758Rr{Qk, wt^5  ",")wCG758Rr{Qk,
wt^5

",17
ic @B,"ic
@B",4
1hm1u}bcT #f F,"1hm1u}bcT
#f
F",12
"&N~t,kL*au","&N~t,kL*au",10
r  O2\ ,"r

O2\
",4
"x""@L ""V  }Zv8(p#M3","x""@L
""V

}Zv8(p#M3",15
wkF'! Lf,"wkF'!
Lf",7
 JH \N w6M,"
JH
\N
w6M",7
 K,"
K",1
"ZM gH \-X6U\""5T sLc/","ZM
gH
\-X6U\""5T
sLc/",17
{ K1NjJ  k@ ,"{
K1NjJ

k@
",8
P Q ET+GV#RY,"P
Q
ET+GV#RY",10
Hf-}j  ,"Hf-}j

",5
">>kVWy<xsPGS,p0",">>kVWy<xsPGS,p0",15
B*s + ch ^psn{ ,"B*s
+
ch
^psn{
",11
6Cu[;k% (  ]&b7bp,"6Cu[;k%
(

]&b7bp",14
"j?,m~qF/ 7m","j?,m~qF/
7m",10
 <$] +!(5$  B|,"
<$]
+!(5$

B|",10
"6w,","6w,",3
~:9[\7%g,~:9[\7%g,8
?3w h qNW V,"?3w
h
qNW
V",8
B(f t?m9m2,"B(f
t?m9m2",9
  3v/VF)q<D7,"

3v/VF)q<D7",10
x~,x~,2
a{,a{,2
G 9F9RjZs\B?s,"G
9F9RjZs\B?s",12
s v2 V]= 6A,"s
v2
V]=
6A",8
^wscV J/9hk,"^wscV
J/9hk",10
2T Bb  WwJB(s,"2T
Bb

WwJB(s",10
39x; %B.H0 {XB3{9a,"39x;
%B.H0
{XB3{9a",16
"E [-]"" |=","E
[-]""
|=",7
w]VB X[  qO!L,"w]VB
X[

qO!L",10
j'FM| SP}'~ 42,"j'FM|
SP}'~
42",12
" ""{ZF6sBd /.xID~ ","
""{ZF6sBd
/.xID~
",14
/z *rW'<y |HvK,"/z
*rW'<y
|HvK",12
*aFz _L ,"*aFz
_L
",6
B4 x},"B4
x}",4
@fWUvJ  Sr d/LGj <3$,"@fWUvJ

Sr
d/LGj
<3$",16
`|Y|: `t(\ t ,"`|Y|:
`t(\
t
",10
 ze.A-E  *u/F ,"
ze.A-E

*u/F
",10
g9,g9,2
"< "" ","<
""
",2
"ii,} ?A","ii,}
?A",6
w}Fd)qo3t*: )8 Jc R,"w}Fd)qo3t*:
)8
Jc
R",16
~  l  Fz Dc,"~

l

Fz
Dc",6
" {( = WWww,\'9W I%","
{(
=
WWww,\'9W
I%",14
!1! ! u bcn,"!1!
!
u
bcn",8
q9pwp ],"q9pwp
]",6
fMzYzZOk[4 ]!N ?,"fMzYzZOk[4
]!N
?",14
=K00 ,"=K00
",4
]X B iTuaN o},"]X
B
iTuaN
o}",10
Ez`I_o6!<,Ez`I_o6!<,9
"Q^ "" Z3fb }H","Q^
""
Z3fb
}H",9
~s o{cj th4XR}rc,"~s
o{cj
th4XR}rc",14
[&Xr8* ,"[&Xr8*
",6
E- 0~Au ,"E-
0~Au
",6
5 ' ,"5
'
",2
",j2  d|CE 7(1P@Sg  ",",j2

d|CE
7(1P@Sg

",14
 {$ x-w+vI  ,"
{$
x-w+vI

",8
-vC@Q,-vC@Q,5
4C      F;`SY#2Z?H,"4C





F;`SY#2Z?H",12
X; TNj{,"X;
TNj{",6
w m*bMW8_K,"w
m*bMW8_K",9
0^I \MRC\DR ,"0^I
\MRC\DR
",10
# zXR OC1i;r(_,"#
zXR
OC1i;r(_",12
  c3  @uM$>p,"

c3

@uM$>p",8
"M,Tw[z* 4^ ","M,Tw[z*
4^
",9
"9*|s~d@KJry""ly,#;","9*|s~d@KJry""ly,#;",17
"P0w yzXn(\ "" ?^","P0w
yzXn(\
""
?^",12
QJ-   :xT,"QJ-


:xT",6
E S/Rsb CAA e_ xx,"E
S/Rsb
CAA
e_
xx",13
n{o G,"n{o
G",4
 ;|u[uB8J P ,"
;|u[uB8J
P
",9
"   Dr/W ,?&8 i BuOg ","


Dr/W
,?&8
i
BuOg
",13
 FjEz35H B.!Mm.l e,"
FjEz35H
B.!Mm.l
e",15
h |{ :ho`P y5 l?vZR,"h
|{
:ho`P
y5
l?vZR",15
nm|%x_# B>)MS,"nm|%x_#
B>)MS",12
?9  +Jtj '9< )iz,"?9

+Jtj
'9<
)iz",12
tp@Zj ru? 5-- |iG1c,"tp@Zj
ru?
5--
|iG1c",16
3qczINAAamQ= .a. r,"3qczINAAamQ=
.a.
r",16
Nxz03]9QPsu^,Nxz03]9QPsu^,12
< Vi,"<
Vi",3
_qN/vVE lE,"_qN/vVE
lE",9
thQ  ic,"thQ

ic",5
fKkh7bk{Y ,"fKkh7bk{Y
",9
:T ,":T
",2
2  fd)  ,"2

fd)

",4
2 1b ,"2
1b
",3
"Fa6 *""~K  OUr |J s m","Fa6
*""~K

OUr
|J
s
m",14
q ~tZI<l !-n4EI3]v,"q
~tZI<l
!-n4EI3]v",16
6~tY Q|sk M5w Bnzc,"6~tY
Q|sk
M5w
Bnzc",15
) ),")
)",2
 R? ZH!x]yLN Juwj*>,"
R?
ZH!x]yLN
Juwj*>",16
"s3=>j#V?H w 9,LeW[","s3=>j#V?H
w
9,LeW[",16
"u""X 47S#E} Kh","u""X
47S#E}
Kh",11
y'G  t,"y'G

t",4
 j+2.m l+)| oj,"
j+2.m
l+)|
oj",11
"*\^!;]""5_h K~cV*F","*\^!;]""5_h
K~cV*F",16
y5K%nk=B,y5K%nk=B,8
5&;z* SR5Z\<,"5&;z*
SR5Z\<",11
j xWS.,"j
xWS.",5
I1 G'6,"I1
G'6",5
>Uf  . Y9.sa0,">Uf

.
Y9.sa0",10
_/L,_/L,3
11Z \q H {iG e ,"11Z
\q
H
{iG
e
",10
Ho(X,Ho(X,4
",DjA0pafB*? ;",",DjA0pafB*?
;",12
p  &u5u2D(>oB0P L,"p

&u5u2D(>oB0P
L",14
"Bx"".","Bx"".",4
NDPHi)% uysdN  uh|M,"NDPHi)%
uysdN

uh|M",16
!'H' Jetva $QJg' r9b,"!'H'
Jetva
$QJg'
r9b",17
TM}yYc[<Q n,"TM}yYc[<Q
n",10
K+K RT9 };,"K+K
RT9
};",8
#$ Zm,"#$
Zm",4
>K:( 2df2LQ<_5jS G,">K:(
2df2LQ<_5jS
G",16
Zb ~L,"Zb
~L",4
.v'% .$8}QFwIZ n ,".v'%
.$8}QFwIZ
n
",14
 F94Y u4!V 2U'P?U V,"
F94Y
u4!V
2U'P?U
V",15
  c,"

c",1
|S5H (X}*O!P=J BR^,"|S5H
(X}*O!P=J
BR^",16
$pKa c,"$pKa
c",5
"] R ; rma"" =e~ Ae ","]
R
;
rma""
=e~
Ae
",12
_B\!xxeC i# Hs1,"_B\!xxeC
i#
Hs1",13
& p,"&
p",2
X(:_E;Yo_ 3qU3,"X(:_E;Yo_
3qU3",13
"8K}""","8K}""",4
Y5Q/d,Y5Q/d,5
"O(? 3>gK ""H0QF'i/o ","O(?
3>gK
""H0QF'i/o
",16
[R @5FTI-L -UL: ,"[R
@5FTI-L
-UL:
",13
" pAk+2 ,W 4#RJ","
pAk+2
,W
4#RJ",11
"""?M UaE;<[g&","""?M
UaE;<[g&",11
eCE~ 9 ,"eCE~
9
",5
huN%&1?| bVj{9w & L,"huN%&1?|
bVj{9w
&
L",16
"WB""9is Jgmr{uZ0% ]O","WB""9is
Jgmr{uZ0%
]O",17
"D ,;I","D
,;I",4
 S =:9@%7,"
S
=:9@%7",7
" ;N01r T T u8 ,V1","
;N01r
T
T
u8
,V1",12
$$,$$,2
e=:cH Jc9= ,"e=:cH
Jc9=
",9
ks   'w<,"ks


'w<",5
@j& T;h#?H mw[  ;r+,"@j&
T;h#?H
mw[

;r+",15
mJ ?iP 5L(,"mJ
?iP
5L(",8
K+h7OK :ES|!<HUze,"K+h7OK
:ES|!<HUze",16
i/h{@ -7j<,"i/h{@
-7j<",9
Jot Dq ^ Vap/xtmbVN,"Jot
Dq
^
Vap/xtmbVN",16
d3Y  *8uk~_ ,"d3Y

*8uk~_
",9
In pq  z+: ,"In
pq

z+:
",7
yZ  $fz  C,"yZ

$fz

C",6
  S E~|?I;;$? mAi '&,"

S
E~|?I;;$?
mAi
'&",15
  vXz;UH !5vDQ] T,"

vXz;UH
!5vDQ]
T",13
"pD^'8,2lp}U Y  )x)","pD^'8,2lp}U
Y

)x)",15
"p oTKM,:B","p
oTKM,:B",8
"pu 7M z,  ","pu
7M
z,

",6
"|= !7t$ \""9 mau Y-8","|=
!7t$
\""9
mau
Y-8",15
2 \-~b&vp0$r,"2
\-~b&vp0$r",11
/ \q DC 4} J@,"/
\q
DC
4}
J@",9
>T  1vlP  F |<,">T

1vlP

F
|<",9
"""s","""s",2
 h  ,"
h

",1
 b Mdl?H}So=,"
b
Mdl?H}So=",10
p <sW,"p
<sW",4
  x >[WNWD ~m,"

x
>[WNWD
~m",9
<4x,<4x,3
z>nzTFj/_W0D/8 ,"z>nzTFj/_W0D/8
",14
1 XY M,"1
XY
M",4
"u  d u}_Qve@qw""","u

d
u}_Qve@qw""",12
 wK+(*#,"
wK+(*#",6
@z:ad~  z_#% ,"@z:ad~

z_#%
",10
e N)Q    ,"e
N)Q



",4
"W6 ,3|+","W6
,3|+",6
 7:-,"
7:-",3
rJc<@},rJc<@},6
sV\I j9,"sV\I
j9",6
3  !9n,"3

!9n",4
-C,-C,2
eUzx  K,"eUzx

K",5
\3q7  b,"\3q7

b",5
Nt `^S@' 8PcE 6KE},"Nt
`^S@'
8PcE
6KE}",15
&atH?7,&atH?7,6
"9  hJYkw  P,R |JL p","9

hJYkw

P,R
|JL
p",13
"T""e Br w N`_","T""e
Br
w
N`_",9
5e E @ Nff 3l!- ,"5e
E
@
Nff
3l!-
",11
n ,"n
",1
 p % Sw{ & 5K_+,"
p
%
Sw{
&
5K_+",10
4*%<,4*%<,4
&*K )C\,"&*K
)C\",6
cFWiQ A'@A o=@?,"cFWiQ
A'@A
o=@?",13
G Yr),"G
Yr)",4
$<L u ZJNVF,"$<L
u
ZJNVF",9
"LvE"" l~v9.zp ,I ","LvE""
l~v9.zp
,I
",13
 x[ !oe@p W,"
x[
!oe@p
W",8
 >VN g=[+[ s!,"
>VN
g=[+[
s!",10
#!  m 58FnTIX,"#!

m
58FnTIX",10
  y |#-mK,"

y
|#-mK",6
  `cO ~ ,"

`cO
~
",4
S} E t5w>. JT-z]z ,"S}
E
t5w>.
JT-z]z
",14
?  8*@ kB!GE &  qy,"?

8*@
kB!GE
&

qy",12
"wkRsM ss1ApJ^""S6","wkRsM
ss1ApJ^""S6",15
!&B$sV5  t  /,"!&B$sV5

t

/",9
@kNS,@kNS,4
" Ru**,!/","
Ru**,!/",7
" x {b,e","
x
{b,e",5
" 5,huP^a","
5,huP^a",7
e(8,e(8,3
" % !KG9od  ]  ""u7D","
%
!KG9od

]

""u7D",12
"$R|A)! "",@@ WQ [%R x","$R|A)!
"",@@
WQ
[%R
x",16
97tV|El m-*O/9` M,"97tV|El
m-*O/9`
M",15
"NF E,MP","NF
E,MP",6
+)!) B F(U,"+)!)
B
F(U",8
", r%at C<Ghz=`vMgJ ^",",
r%at
C<Ghz=`vMgJ
^",17
(xS6E,(xS6E,5
"x9C. s`4m D z zEK""H$","x9C.
s`4m
D
z
zEK""H$",16
f5nr4,f5nr4,5
73E`Z^8,73E`Z^8,7
" [hI""j2 [[($2`","
[hI""j2
[[($2`",12
# 04Q,"#
04Q",4
"dE<5 -O*[,^q2","dE<5
-O*[,^q2",12
= !r # g-4g,"=
!r
#
g-4g",8
vWm)a ( 33SB1p Mh(5,"vWm)a
(
33SB1p
Mh(5",16
(^$L 2 AtF )tA `9a}<,"(^$L
2
AtF
)tA
`9a}<",16
~ #[q Gg. `5e  ,"~
#[q
Gg.
`5e

",10
qr mVn( nOH $f,"qr
mVn(
nOH
$f",11
s`D   BC[K c`cM$,"s`D


BC[K
c`cM$",12
"(XH_  r- 1{ ,D!#%","(XH_

r-
1{
,D!#%",13
Ev/br `=z: b[d |\_,"Ev/br
`=z:
b[d
|\_",15
"go[J,:8!C","go[J,:8!C",9
m+!o,m+!o,4
9 H fkWm,"9
H
fkWm",6
 ' <]MM(l`,"
'
<]MM(l`",8
e p  A(,"e
p

A(",4
Z{  hw4,"Z{

hw4",5
4 k6ER/ QJEN A8,"4
k6ER/
QJEN
A8",12
.' U,".'
U",3
Zo8GJ \w=/$,"Zo8GJ
\w=/$",10
`p\OV,`p\OV,5
as ,"as
",2
 K ' rD;Y{! 1s#=,"
K
'
rD;Y{!
1s#=",12
 M>,"
M>",2
;3xY; -#v K    ,";3xY;
-#v
K



",9
" :<'+d""j+l %M6""AcO  ","
:<'+d""j+l
%M6""AcO

",16
 yj  j E0;  Wz ,"
yj

j
E0;

Wz
",8
*&3E;g,*&3E;g,6
1O\y ?;,"1O\y
?;",6
!g %i,"!g
%i",4
VME.,VME.,4
;   .Od?g9V d ,";


.Od?g9V
d
",9
!UDcr+h6  $rZ,"!UDcr+h6

$rZ",11
*8dF ,"*8dF
",4
|M S<jhu'~1}b ,"|M
S<jhu'~1}b
",12
3I%,3I%,3
10,10,2
" | m6""`OXJ[>e:U","
|
m6""`OXJ[>e:U",13
t)( .rK#.,"t)(
.rK#.",8
"c""7-u-X7AM3=u/x  ^q}","c""7-u-X7AM3=u/x

^q}",18
8 <Y %'[hchTE,"8
<Y
%'[hchTE",11
%f,%f,2
"&r Za ac! T/) "" ??,I","&r
Za
ac!
T/)
""
??,I",15
"8$  dYe,wL","8$

dYe,wL",8
j] |V B,"j]
|V
B",5
e^YIC2F  3  8,"e^YIC2F

3

8",9
i S ,"i
S
",2
Gx H % ,"Gx
H
%
",4
oZ| P oW]#<  ,"oZ|
P
oW]#<

",9
1w]f(],1w]f(],6
"n#,8q1kEnO 1*  j~","n#,8q1kEnO
1*

j~",14
J7SH%q- 6yP$?O5-)v{,"J7SH%q-
6yP$?O5-)v{",18
HG E>R |(]OE(Lx 0,"HG
E>R
|(]OE(Lx
0",14
" <,","
<,",2
 FTd)Z/O^,"
FTd)Z/O^",8
"7{Wm g,O2 Y2Ut;   4 ","7{Wm
g,O2
Y2Ut;


4
",14
a iy1% rhG~Y%H  ,"a
iy1%
rhG~Y%H

",12
! e`'-  Tl2Gt d~eEN,"!
e`'-

Tl2Gt
d~eEN",15
iK  Z qyo (;),"iK

Z
qyo
(;)",9
wEtck>CB=yH jT.,"wEtck>CB=yH
jT.",14
