train_input_1,train_input_2,train_input_3,train_output_1
"ybOeRY~9U#u|_y~dIlfP%Bl,%rt1hO$>=0$7:F7ZgY&3|A[Yz","ybOeRY~9U#u|_y~dIlfP%Bl,%rt1hO$>=0$7:F7ZgY&3|A[Yz","ybOeRY~9U#u|_y~dIlfP%Bl,%rt1hO$>=0$7:F7ZgY&3|A[Yz",false
Tc~q\7==/a|c	brYZlmVy)B+4*R!2h9UZ[p.:vGSVs_,Tc~q\7==/a|c	brYZlmVy)B+4*R!2h9UZ[p.:vGSVs_,Tc~q\7==/a|c	brYZlmVy)B+4*R!2h9UZ[p.:vGSVs_,false
,,,false
Y)47rei@,Y)47rei@,Y)47rei@,false
Nt;,Nt;,Nt;,false
"""mCFMPw9fv_fTa|<xe ?ab.}8L`h","""mCFMPw9fv_fTa|<xe ?ab.}8L`h","""mCFMPw9fv_fTa|<xe ?ab.}8L`h",false
"U3Yu,WdS0]""R'6stqJT:rAmQ5p_d","U3Yu,WdS0]""R'6stqJT:rAmQ5p_d","U3Yu,WdS0]""R'6stqJT:rAmQ5p_d",false
"%7yLL[-W
8Qk_QSZM)yCU,3B-C!Hz38""@C	","%7yLL[-W
8Qk_QSZM)yCU,3B-C!Hz38""@C	","%7yLL[-W
8Qk_QSZM)yCU,3B-C!Hz38""@C	",false
:e-p:BO	=^=nlS!C|l!',:e-p:BO	=^=nlS!C|l!',:e-p:BO	=^=nlS!C|l!',false
"KZN&=.7{[\yF4X}Y.f{U5.OmX9Z1k(Pjh}gx-MXG-
'}s)","KZN&=.7{[\yF4X}Y.f{U5.OmX9Z1k(Pjh}gx-MXG-
'}s)","KZN&=.7{[\yF4X}Y.f{U5.OmX9Z1k(Pjh}gx-MXG-
'}s)",false
"0UxCM,MMd*ilb%
m:K~`a""5]i4>ju	-]'{","0UxCM,MMd*ilb%
m:K~`a""5]i4>ju	-]'{","0UxCM,MMd*ilb%
m:K~`a""5]i4>ju	-]'{",false
"|R(7)_z=Yp<|VHVT*k0SPdm^P{zh1[^""^OLCiXj1`w","|R(7)_z=Yp<|VHVT*k0SPdm^P{zh1[^""^OLCiXj1`w","|R(7)_z=Yp<|VHVT*k0SPdm^P{zh1[^""^OLCiXj1`w",false
"/+\<""Ez~}z5p*AvC^iK@5HyWJ7#3aD&""kGa","/+\<""Ez~}z5p*AvC^iK@5HyWJ7#3aD&""kGa","/+\<""Ez~}z5p*AvC^iK@5HyWJ7#3aD&""kGa",false
"""|o%X	U~nG$K9'qL0VgB(2h.u7u i]j2Pr$VV6o@k$h5:[7","""|o%X	U~nG$K9'qL0VgB(2h.u7u i]j2Pr$VV6o@k$h5:[7","""|o%X	U~nG$K9'qL0VgB(2h.u7u i]j2Pr$VV6o@k$h5:[7",false
"0WwN'i=AO""C&eAY>amnw=MqhGk","0WwN'i=AO""C&eAY>amnw=MqhGk","0WwN'i=AO""C&eAY>amnw=MqhGk",false
<2.\titAgw0L7I}&L|^z6%HQB{9,<2.\titAgw0L7I}&L|^z6%HQB{9,<2.\titAgw0L7I}&L|^z6%HQB{9,false
#bVz{($2!:'9O-$v Z	>q/;Pb-A,#bVz{($2!:'9O-$v Z	>q/;Pb-A,#bVz{($2!:'9O-$v Z	>q/;Pb-A,false
'L;5AQFSM*?+C<)	a,'L;5AQFSM*?+C<)	a,'L;5AQFSM*?+C<)	a,false
"W""Usx$R(8<t*5.ir]$y9'!Z?+l0bS4aH{uKS&[{=V","W""Usx$R(8<t*5.ir]$y9'!Z?+l0bS4aH{uKS&[{=V","W""Usx$R(8<t*5.ir]$y9'!Z?+l0bS4aH{uKS&[{=V",false
HrV,HrV,HrV,false
9wsi zSZSiETZ;P)sNNF?@`p,9wsi zSZSiETZ;P)sNNF?@`p,9wsi zSZSiETZ;P)sNNF?@`p,false
*,*,*,false
"ygJKs\wH""a<U {uvLj
%UNi'",>S&)0d8<V-HCmz5A4>`tF\$$,"`DHouWHoKiN!]Se1\( N g5U VnVX.n e
?",false
pw,"DZ;
HE8{&_ZND2>TepL;e","&-)tER	LQ}=@A2]-Dn|F19a@>;QV1L
[C	vP",true
Uyc!]^22@*ZzW=Q	AlG*mJ~S,!O/bHK}U$p\[rn{OP9@[S>RQGm{- ,">6,<p:d/x|gOj$jAem+eNJ\i.}N}I)""H7#6,	#=e6l{nr& 16",true
wzM,"5[=,c1C0FyzwB+	}_Z2[mxA!","~ymz,V.}+u/xgwM=/;6A%19ri.BaKKsQ.\Pv",true
"
<qHuBf ","ZV
X{,;`Y+IL""(jN#,[C+q/G'!lh'1b1B1L","}%7b!dx,}|1	VLMYg|/xPwW9DTq,b	Qp%>XPK97 *mpH`}q",true
"9W,D/pb/+.3:J","$4bEhu@2TF'SUdOs"".",A42{pK(^adyJwa3EB)E^WB_T~m9c.!3'&,true
"iAxhTH
-yg`'Lu{^}%'<Ou8jA-b*fh","M,}3*<J%^c%j31D.4_s@~oL${}'cg?fHdkOC}[d|]",;Y%&h4D=/?vs>_hFP8iG5QsijS3|{t`uTD\@+jI7=U8,true
"S<x60Au=dE:88zD`&G
\","NLdQd|xODc?_#FRqR.bd8k&(RaD2
","]UsgcWPm,K!CD5z+)c.w`!0}|:	J=qM)U>
,k.=M/[.",true
_W0J62ya;) -'#,"JVTW(*
+>@	rLMgE/$6JvPU","qBt6&40@O4]N7-270lb!`q1W!yE:ayrTw6
BJP8(1L35+#",true
b8'2MtJ,gM'C[G2z4phhR{fUKfHp(,b/RKP#~v'`8G\v?dqvN~Eubz a	9Ae8,true
"pS^e8H1ORL6*:L~C""(T[","-TYhmxZ1HOBi#]_]AM,xRj;$;kdfusK8iQ0"";","5U(G>\Q>&GeB$tGR_JxG6#	CN,lAA[0	#!~'!yel,$|P",true
"8""3L1j=z","6uK^y [f&/?m}wKV.B2w*\rv321FJN6K""em9yb}",":-v"">;^T9~7oh>47d@5*AxxV~HBH\eK$O+D`\oauTfXy",true
j4h%	(by,F!b=lV:Yn?X!&|Umhu4L!]SE03LE`oc,"Qu9
RY^Y863#PBY*cB}V,%@G^CWA5&,2	VLcEj[O.",true
\V Vz8)%'4$+fN{&$H," X&n|d8+OboSS#|Xc
$ZK
AM ,Nw4CUR5HkM6","5hJT*sE%PBm~Xu_#5m1JF])@^[#
&VIG@8sF_",false
)p`o,"T'>mO
?mnCd)b{T>z'CVxe7ha""+Mh[a/};8Z","U@Uj4jJ|P['EQ:fK8W""r!pnmkF
Nb""Z?azsT(7
YxCuoPgR",true
?{</K^N1Y;$P7b5,"qnicV
QK/%_[$*PixSK""w0`wY;","af!zN,Q/9wj33E8d9@YF46@1gO2D+:4X* cC*",true
C*-6r_ok^%]sH29}e1jF]r,7~{v8GH!*mZc'4JI!TY]ehSNiwlbHOvZ<,";4Cu-K$Ay2~0</KQ,f.NI{Kx`sul[.ELP(Y.j5!`?NKo{",true
c9|kAwQ\,|op}\4`F;9Ft}_u6[>m9,"6K]~0KF_R%l6d/
J#BAWCm+:Ea>",true
&*MF:/1N)%y!#P_<)J,{Jl$?;|qrZ2%ti`uNfd	ff5 +=[,"GIW2,N21kh(8adi=+""vhXV,Dn5KX2{
NJb[ys0d6",true
4G<DY<ty~|xzK* ,UF.M4Z30\0H.wg3K|2U0$U_Vz 1M56-,7VbZef?|ELrK!0vkd}0*1nv|nN/!t|$vk@'1e+O/oi}O),true
t{'h&.3k 5Y%,"5chN_i:mnxysg:,#oNQDO3W!,MF?`<.mIOA",".MJ L#IjkcCB(*l7qhI^F@cmApl296
O	~GaAnj#>v-",true
,"=;^U(qmC-cTx12P>,>1\n6Hf[W:_URbr0Q='A\!","P9~""a+q#?c+-=ZvSu#	H
\vw_o H~8I!Nn-C<n]JP",true
"~'W!*9 ,))","^=eUR\ep^f,R","0e<
,3BDm8,^""",true
-5-I\ D@(&_rqLRi,"""[?wheA#{'QC0l,,WRUs#p*Rn69$+/)k",R8dqX6BxI1B@jRINF	s3 [oBeSb[E_N*q?`S6y4mlXJP,true
"|1	.[.y""#+,8'@Oa(g""m,""",'km2S	P%z{4g#W8H=BSVwv7rZH5^O9=?fx;,"iQYhhjA""jAB~Ny+dGLG
X,MhP#(	o%0QSU[\fbCo^DA.a>O{",true
")cwAX
Ao\j
L<.s0uN;VfBf`@F}","]	Z7n^|8NU(/%p""#T3)h.{@xK	`yLN","u/p5_.ug?yL^Za!>,?o#}rn^U
3Z,r|qtEF$'?,!DE2<",true
"ip@,uR~","E5m	yBa//(,7BiVSK^""&Kc1+@Ei&|\8g",!3KsW3k_2_]7}B%:Y{NaH]m_OY!c-B#uk4C+|%,true
	@j>ws3^`l,".
e\7u~E0FP@ff""db^4~40$\d|v)g","TjR%""8{\""{0N0j^-|Ql,FCp;%=	?pwD""x[mF(v$0#L.Kip",true
"
ke=>W-UHitya@	yy	_","jB^q6I:?BZT,VjF3iKq~<=Q+K3!9r","kUIH<?(F,s{6l4Q`dx""@FwljO I
`QZi2t""z4'-7 LK	",true
ORm,BXP+8M,"Cw;N1NvR6G@jXn7)57Jp?HuLoVV+]`n,Y&6s6V0+8zl9",true
,BNvy-[~yG*k*U)&,/KU{e7zxQaZ3!:62LrvXWT\_wx9i_.WKlNo';:OgGAF`&,true
Y,k;-3QBpj<nxt]Ro`,"brmnT""ZEEeC@0ql5J^MW![,%W",true
,H~e^-}-(Li@-Oq),$87@_Jd4n5LyA.EXp,true
,z'," a\
972#H|8Rbmn%;2zp*wseVm!_$t]'j#pIhd3A5a!",true
SD.eT,"yo,Q+d~*G]h]r^j(*dQ4(IP]QU;","o~1v8i2K	 .dg
F[-Xx#-x}lK6_}WQI2:&B1D&+t7Lz.)",true
>3@,".siI,%FErDyQPx'/Q#c&4mm7
Uzxp7joryCV","SsS}OtR8YykG)1>yuNe|FzSU7RyEFt_$WI'ZYl
hND6",true
 V0(4c=-<E?b>mMpr	#9,PWr+#J;a*;0V<PZ-:.^2<,"Q#D{[/(A9.D&""=@
I'W>FA@*9ktnCg]7U_O}<3W1Aha""6 3S",true
j:'4,"(""M!M[*z)OKKhVTFr",tSKk&Lsf~IuLxkok<9>g&Rlk|ue*+cBbp;=Bl!Oe/XS6,true
vyv,5sj<hR=b,`_eBdP_duX'SgugN);e70RDVLCzC1#&@s1=FBqDj&y:,true
"""<T","'-
NFh~/Q!?>>9p-","2{YzC""pd3	D&s8(a|MBm
[	y^d+@c{x1S<S4sySNV",true
"!j.,uX",1L[jFal4',IqOu'9=_L68?]2_\{2wn*8IL,true
"GYD,DsR`w/
O*uIc?]D","WOH>e4>zP~Hn}8+Cl
ySrr{+<+bf","QLc7""@24R:XdFf!Hm%  e-/.b!O3`GhGG&(H-86?,=)nE",true
>N}mf$$M=2l$,"\3:
%4rZg?Iz2","|rBL AYWs	WP;/""B]pF^hs717okK!x'[t7",true
[uvy(df:g=dQ:,dNK;LaHfuj}q|)Qwb/LO3>>s\O#\lLTEW,>*<RGiNUPeidLI)}p-+)NGAYI_T2HduYGN7,true
"Qg%`9^""U^S&gF*0\X","z~_.e7y M-C^
w;kDP} dY`_""Ht;x
>3k-AG|f?5/~Zt'}|","w!nr)8zvV,Gc-12Ff)n'~o2g.*Wyf@\O|qh:U@{I`0$NCBR+o",true
7F)-jnc,"!/\vPF#hF}^ITxr'	5Ip	_'d2zh?<,{@VU*<PO;4:/","i^1TH,ZeX""8KM`Q.06dqD-*d~] ~9ot8b';W+
#d^1",false
o0a)p,|oZ/rR\]U#]S7e{u]d4S?s@.IeF>$J?{a&=b5N[d0,"{f`>5.+j mSuHf1D% 
~#S7ym=spI2,j1Ci/,#7B!m5",true
,BHdli#`~	HXDI=2&wi(,VfbIK*wt 7$pYwFXV4yrdNdh>;Y0:xi	'K&,true
kqXU, N|~F1{5Es$|,"Ye.t<tFmS@{G~1|\Aq#J|:A<i ' Y;""iN^`",true
q?/M,"ks[s,+lQ/^2!yL`waoaEyF2PHg_8-Kioe+KCVQ4","uL7f\![dS90qzdvB]PzaTy4'~k5,sZdqQp4J-R0#p3*>jY|",true
"b&?9t[9i$W|i$-#j{""7_.m)jB{7R","F
![R5.Ky@lJfu\<Epyb:~@UGmt&a
?","'Y}""
ysisimGPyIW.\{f.DuZ6<u%f-O}Rb#m",true
G7TVtdY; 9gYuF9)AY[k+$oVTrRj},"d2rY""^/g:!%q0J\<FfWf#'K=RwcQI""}c","!A97	b`	:dl+Kn1.LyG9heCW(B!rVY!L:;o7JLBL,-",true
wk3[y#+UNyJ`jrV@sq		_<\6v,YW2+g\SBM@K13TE{=BN:7>0t9,"WtH(+0^]+X-""1F:oR>mw(k83ly=L(jS#,da%j.cq@B",false
"I<3r
/\v","&#:7;~5{\I<qJ,e6}SDAvHc,u!i%O7}QWSE8%W&JT|","Wiw?CI	fp5BvlUS=e1\H!m""	t~2&7q>J
$O/.Q:dOh$V",true
"`P4ji6>kVUQ.89fi++h<h$b(YI
#em(@l>Z'$W=",",!rEYO,<hPtQn	LYojYU1yeKq;
w780s&bb	d=V
""|*irU5","0F4vqR0!b/yR>5THpNuJ2&9L;\K#j)I1q(m6W5}Iryr%aq""]",true
S*h,.^\_tW&r#V9G>L J+UHsB#* @,`'3\s_!	_OP-{F3KtjO=YU-7000	!Zgo,true
!^1|*^at]],"G-4t]	""S1cJ&4XPZ{;Mx""%(W4c8^","ut=8Il\BuF
+yDbD^_:ZTm]_j#k4GSsZ2OX"",",true
eM/h8`FT,"XpbF`""ntMq!y",B$qv_vK0Vqn`/}W;?=&=?,true
X`r~f<*@(AFH,"&""Y~ |?jm*CwnoOxPnCow_KFX7d,","
w)Q@D_:&I;:PnmfbN;]PYVx""'O7H_
EI}_u(P8\k!5""T	@)",true
"3x
V#)wB#eO4g2",tNQplEY%1YBCqTYuS,"'qN87Z'ckjz0MTs,	n3
,&m S8%l8ry~W",true
"+NTsN9N7
;I8LLjkT2*k#9RBXho)Ipi:","?A	XF
,ff	;wnxdjD!4@&Pt<jz^-u7^[B}x+#^.B	.Kz",?;j`><AQIWQn%t?1aRA'MUKsE5)+}5a^7K$+B%LV['ZWf6Ic,true
5;hTxD*)G$,.6pa	z.48QwJ^lUwxZI3#O-l,"OAM#[x&By5SU!S)L+{6==SRQ8J	'x,<p)!# vm",true
v-ES>.l~}L?gD:]si,"4L WD9* uyM#Ivn[dV,Lik","%O/f]b_""&Oj\!^{fJcAH`!9o",true
`,"f*}HBe4hy0:
.[/{<%*","E{+4UnN""O;^t(=jqk/5j},)|.Js6
ZTq]6",true
";*q#-|XN>m,|:D+=69!AbI",zp2Xz_ao[z@Mof}\w?(fWW-|ay1w%tVmKL:-h,"p+	_x'xA^Rr4jwQMOi^nR4oj,|Q0DApI~By45M>&X+",true
:Q[n&+J*O-Yiv&-F X65,"$$'UC8D
^Z-1Y[k`+;efVMK'","Wrfe_E'M^RR<$ze![Y[AyCK[:#!XU,+w~!<cXLR",true
"}jQ6 ""qMDmMSp:r$zM>^",X	_pcz>q.n?`F8B.klL]vy?Nb!qlie{=,"onyO6j.N!/E 5qdY#'RGX0cw""wCMO~of'oU
DR HTcM)c!|u'",true
ft,"$Qx<,j~a",#QZ1*=sre+	E],true
b!N+0`T ,"A6YS^
}(~>]P_",}]PV1i{T[BW@h* %,true
SF,"E)Wr-uKIkDS{t>au+S	MlAqq\
Fk	ZR;e]t{3M.2","TymaH.oxZ7S|fD7-4/c6NcT~3Z-,F	6kEN#Y;E<gJ",true
,"""zVowE@>.Q9<vV@9.D?-|O07K A9u]Z,Ugc@|Y7cf%d:U",S=LL!\fI8\!})O~s/#KX6HFH(VExSi=J!	3~MORy6:z/A&-,true
Z['[ij.n~B:c-,HNb&!=BG-}JZ#,"I!/vV?3OPF_;esZE+3jvjW4y>8GK""8!Ax#b2`?,tHf).u",false
qD)z,m)+H?=}yIQ%$=GwEfku9[)}OdN<:}B #;,42l_&hCUnI't4-T^RDplA)F zA8;j:UNG<OTm,true
-A@[.AAZYI&OxHopg,"M.Op,IUI3D""a:$%vd%s.O=%","7#,ot9d/k>b6
-3sx)q5KxnucY\4i==i3RA.&EjFN0e",true
 Tfa/AD,CtzN3J	Q/*Ax#niyy,"kZSv^,?ZQ7Dio9b[R""_<Lbihlrn=$O.5pn(<7",true
rRE$:mlqPr,-f~		vk5Be<M,"r1:>`e,aZ_cC)>LkI:Ba-P94+Z#	OM]z%",true
D F,"_""YpfK.E1L6	F	f{qA`QWqGRfth 5p~<3v~","$~;hw'X.
raTY&Hd*G:yuG?!""=Xhoq*TpZIB=;iGX8LP:$[",true
}4=+fjI7h*	,nHF$<O:Y].1B1,o\aH B|pw|SXh]rh2#,true
"A -52,}N~Dm}",",+(""gbx
JBdlG44DKryN=",tW'.xWa}o.l7X3-$^%ZFn,false
HVoJ(Io^,?#$x%6kT:oZh,"Ju^_H%8V{P)|2Zg	Is!}Gtr""{1Pkw/",true
DkeW,]|O[N,"KN9n>P/'dbN9]BK;
iuMI""`4N.{.1kD""IK-n1!a",true
3xrLgjXvs\D=t[$[9,"$'+MJ2|<?LW)19b)X,4","
uvb}1J(hgp@8zZT@7hmeJ&*Fn4x:*>mG7-LF=*>X",true
q]R/m6?^ GrB:WaG=XGBUINj*8>GQ?=Ej0!vs=pamleyQO0,"\uJv4h+zmyV*4Xz7YCw2`\+=uscx3016A#FI k%""k90m8v8","-t6b9pv_%*Mj""9'+xj_|sL^Lj5f[c^3`Z,do_?hLi=uXMt
-",false
]PBj8Df$V{5'uV,aFMY~Vdi\[	'ZSBiuj~:(d-.E-_~9sWt|+KO5vRXh#w<l{eg,"^X&6Te_b'eOR""m@GG+dP#|{A@Leb2|Q:6atGy}V5& nAq@\UR",true
"
4@'{r7MN@KIU`#a|>Sn","<aV1L_,.YdEy]G`@LNEG?",cO[Nt;8{D}(3NlGv_|Q`|5j^,true
"(I	7$Rn|?,v_0xC!@FIJp",8@4$e.lVQ!!&EL@t3pX	-ld ,<\<)j@	mBf.=?rk	I;:<j62=slmFP|}]EvN`o3	1C,true
"w"">y]$9""7N:	",@^p;2>q	Hl4b|,ju'(a)r71C3[+<Z|Vb1h/h+>g:&k/+yqzw,true
"7nBo!Ye""I6A
D){>}}a","q^Op9m!Baq m+E9tMSeR@""Quv""!;6-o@Qb#b!(",#JL{E(V|1`S}YU?$I&KW^M(lyp0wEKUAXg7v/r4ht5jbX,true
"q
	y8c~wQ>",&rTBRzW&SJp)x#Mbe(]8SY1:RlN!H-$U_*]e,t:4<;jZZbSM'<x p{'94**a:s7Mdux<b$74e!lZP!(artO*CX,true
w;V,o.$?52VfB'n q,"1cU""xG1?C5-aydW+VFJgK`dX",true
t1^xXNV^@X	,ZwiRa5f?()?rkz/V;oX\t]HlTvTXu[~s,"pkrcEs4yp#f~E+,iq*h35}
6ajuUG'__",false
{_T;x8{0$cXHR}/TN'HGTUg,>;Q]]=bZcW.K @2^G&ifFu}?],"obMr!:f}}E%cVt@~||)UN9IMYi51Vi|COrni+A-
lw""QR",true
]WX~d+\w~-!V^7,*J!O<6ri'R Q.%#uH,"
5zwnmuW#CSaJ,#HL;~tmdA^",true
m3Un\>I}%9z~*t1|Q4dS;J`<b7<4,"(q WxD;oWwsu}""`^`'H#	3(2' 0<A$C%,3sYXUchIUXL:?p","[QJXD03
fZ~UW4ttwrst{pQjS?w~lI^e3kb^\kAy,^~BP_O",false
"DEXadF1
qYZ=,Fx3BeP!kAx[)q+9n ","R\}oFe,-4
]~k:rXe.{X[GkJ;jg&)!Y","G\3&QS$^T|5X
kv	^u7HqpC&9{|	KYy3_N-(A4h&[T",true
29YRe=wwj-\Db(Z3y2)/&W*.]rch?y;,"wwx|0*R.'i5<bW,ALQ'mExFpBess)\{Yx",/-^'X+aIz}qEH2|JP-v!I7\[3)JP&p<M6~e,true
:&B+,EPf&PCoKT?/lB-WP-ro;ifR8|%e.Whw1ot,"X0d6[|C{:$wRyz[]
""r'FSHwRVCR+c:2IZ1b",true
"I$t|.E.""\""|D~_l $w-K$S ZL\AKdH",QcP;<-pxof4C+S*DHFqA8a#MERBqExnq>	8lTl,"%C.|& c#3rUF5Ws(3W,JWX|Ze#2H3/?/^G;y&IwwrbWh",true
<Orzdi,.=PGQy+9,S8hYGS;K~5wA3fu]#,true
Mght+)d6E`,#$rGjsvVo'MP8)Vy,.TOaJ)mK~#.MS[`f7.RpA,true
Hm/u<s),"KL>(gLhSE\\ss)@HF|?MXV}]FKn,(4
[(0@?*LA-}",^n8rfc}D<@g)`8Z};Q8i^`cmm5M*]OpxZFoj<.Y(Rc,true
"[V<xVq]uSlfG!NkfKhf""","WA>FVV""405D9m/#h:5eY[}WF`A	1	q[1nWF","gys(x>CpAhs]yZ ""h9D~$5BKcgwClo'*2?W&M}%H
e",true
pc;`,"A*N-O9!	0_c[F)W.)8T~K}IP5E9
_6","8B,m]&b%|fq`0nfMoso-5,vj},P[Dw+{8b*C-'^7DOr6!g]",true
1bT|TK:=&M{%.N]])l7We,"3:k{B'uu^\Nw60tol8DMTj/L\S+
z5@ie^\7r0
R|V","t7E2s_;A(.R(2`Hxe0]rhD3jMv!USV6O!q*,GV\s}	Cc ",true
"
\Z	 g}:vOhMg","~p^xj2x-3E':]DF'~b""9:S>w1a	D#^}oE6J`h \t",")l|#hg&""i}1ov}%`%(N%.?sWG_yPN*+p:?B<zQz14^j",true
"PS2!Y+GtY"",)b(`#3186}J;,#","-A9SuiH<4@RE.4d57tpmAfHwm2
C","*n1dD@~hW^e2$OT>NTS%J!\$0OA8,~OnB	qk8Du",true
"IBQe8-|8 *) =VQ2.x
}GXi3hU4k]o",b#;^A%GrGFx9bIJ^pV@WZ6;yyY0PkFMZEJ$(NFN	3z,"0U#|28[Aep.1=""5M*mf.iS$IX(khT+}y<GM,$3V9H0NlO,",true
Rk*,"OyAB~-?),o5F0B3R5!^{Wb1","=AxO~p;Bglr,
,>XKI601yGW#	ibiWnj5DI",true
+{#(buvQ3~MK,o`:9A.w:\Cb5p<U,9&&''C#x`qRWv.QI#i,true
"@9!<pEA
u","m=pgr]71HKCtF)rzu);/Lu,]d03t""M","PQA
7{7!;""C<fDR^?i~	=$]	;(~6#:",false
"8k8?n +ziTHedK,d","qGx>}q[9GlM<}DeU
n|`{&4,x+","#xG\:AQhmf
m}]|tp* f t\3@)%V$b]/2mFaz3R[ecZrEc:",true
"4TH/Xlb@QQQ#?Ggz(Z;#=D8EN0/:""","NU!UT2Khzd8""_H'7En3%5kkv^BEy
6x'GUysG|b",OTTtSoHM`w+v|9=Po)J1M%o|P181GBXLy?<a\2Z,false
"i7>.
5mOVkf)Ypyid00aU@X93 [DQkq*","Idh7c,K/
a'[o}_GlSJ`\<fO!xuu),}N3<#W","Y%Q
[hX><R@Hut'1@oL51@BK	>=j]5,%q  /T	9\mF=K?sl",true
U?,^tE,WK $:z*olh8F2,true
9(:|$wQ]n@a$:*svT/2~S+:3ej.dd[gY!~,"&b]N^	:Ev+=U=&9>""lq6h]ua4mcT=c[ci|xRmx","vb]I'-5yr-@QR6w\W~+0L($B	lQ/]:zOrplE
x`.g",true
\j;k&z6't$Bhyo,Ho7~NxB-Yuy]F	tl~u,/er$FU;8/\](0Ap{DMP|F7,true
""".K?n 1R",G_2%Y<.Km<GB*eheBIX,"-0/*4+wW4$qo*zgj,ujIt",true
"/[BF$qT2WDL!Htd\+Y3/.8\UQw]c],n7T)V",(g:_+3QD[8C	raIk:\eW|-qndzWO/UVHIH;?,"X;>g@}Zi{Yx""zT9S[@N1	HzFQpGFeKwX93Z{Z",true
"1J)X
h^}l{xO9lQ3]qo~5t&U""+","h@szu=E<Kd(y`H=aW8[C,0Y&SRc",2R]9|7]e.*>t_@\b6dIJ<7F&UP?<nOS,true
KZK&.M%aP$%Xz:#,/o}$_q<nyH1l]@\h,"M*vSgHt^:`6=Um
Y[>kXTbbWWL4V$|",true
".m0}%,S<w;GX`.@?=?aq@t,f4+l","zvAN=S4<CI
*C+1hhtoOc_\_5yP5<3n5",")!eoA::>b	w@U/4
kXJKIKtZ7=NJqD9gy9wk3LR
'ez",true
"gL'w
Ot&VU",n)j((&2rIg,bMbuy!2rS>NZ]QgJ|V^{NG	|HRJ(u(7Q7 p&'*SG,false
"x""9o6h$eo<rw",8YKy68w[ :<>C!Ht,"S:#Y'GL8typhc&0gXa6b0*\Q`43#H)GqX6`[-,IJ",true
"`}h:	qu'3}8d4vT#Uo|[r/(
@/dyNe","53T"":Q..qvmZ.c#HuP^IU,}VX>[""(YAHb'|",":5v $9b8.o,KtAW]X'G6}'M""vCG7t{o1G1Uu}851kNh",true
"L%
M	SuU`5`Z","-A	u]j@N^ZUE)
%uQ4","c/+FadVM|El|mmu7/a@y
5",true
XgL0pSl,;]&-Ah5yI<AC@}	p1bn[Q0}.'{:zgc,"K4MfBkDLr@*n>dk=J|DBMNWJ	S{H8+Ay""Sbo!Y",true
",kxTx[C{z*}S;vh",lAoQpds7u<+%GCU,"""LYVbYlXKFPLePekvE	Lw:	C0Mb2",false
"| *:cVe~c1Y,,[}{3e&hJ|","3=J""""""fl^{;H\{0mvd|)v_9#f08)s^;Xjmk[
n7a|F;.:R"," }<'~xS_dG]T@yM{I6RQhLn&\6_O6{
g_0{(zdM|{vh>E/",false
"?)'O	!-ZDd;wz""W-s^*",Z%SNsv1T.s\SDV9xVodI&K,"x*K$|yU&\.O)2Kz?5$h%hsDcg,#9|j^/Fn|a4ksyEX>?zrNa",true
U1OkSE}<4,C`hA~L`+W_(?M~pVu{U{DW/z~O,"R1LpP
!d:v|&;KsGVeq
4dGWX~x5kYjvnZm^r5HRWXMXw",true
"o.LbY \BF,ycOIL{{EM	Kog&D6","whJwv 3e<hb""L1Lov\uIJE:H2yA7V.O(]t6+Lw","@PrPpo,6dJso9LRgAGDq=S(%)w;'tJC@x>/Thf*	K>rJ6%",true
mi>Jp/>;^t,&:Sw*EERF{_&xGZ^,mB(!tYIkYH?uDsm\nv.0V,true
>F';Mp+.zY'G<<CofE=5T,T!Me2Zeo$<9$BoA+#}0.VHyNM!:$;e,SunE@<!ndQ}khvhs1hYAC\!nlsI_#J@#<LEl5Mq/cFTy:7O,true
"~Gm
lsq~I@%d=",DprMBbQyY`!]7V48cp~e'wK(,"X4kh""e?	^?aa'm1kk;_rd	""!L@r\]",true
@T:R%G`dpJ,Ap^)gg=ul!'BxC)c=C,"6~#mk]+cAV c)_Fv2VM
IKJ?R`.BVtx$&FNe&({Ld=K22Xh",true
,"CXxagi8""eU|rIE",c)XX*KJyI:I*bz>qp,true
"G,?'XTk",zNT`e=6HHqA._uR]>_,#U>h{ -;pV7K2;!ewK^T`v<d:,true
"
P+g<9b7Mag@",Cv5tz$}U0sip/8`N(*r4-/@xl(,"'Y>8 R;~5wI""zeW
g:+cT3%BL1X",true
,(,Gl#$h\o22,true
?7z&_,<2hL(,"[ T{i!!?IwhS-26NW:a]cY48r{+#ha
(T@qpd&/qgy,6D^SvN",false
"V=
%)\M1SihpNz","q	(D~ibU)"")]dM-y:G[e8&@kDYu",";eb. )z8X9{P.NGvSW6ZL= ""
z+:[jq}-=",true
YML/a,N1<:9[pDK3pNy&75,rc4wq9XO?SweJ*R!Rx4h`N bW| x1_J0<>|cx<F,true
IRS,"wp{/u;ZV,aVm{Ph6iB>@;5","ta^a%#{m	xRGF~Z6@/190N;P,N",true
b+MJ ,<(CZN;o&i0WG,Ejk]W}WSCeg/`2&1d{2d,true
D,"""l~C/",|LBjYAv&<b7Zg8,true
/[7Y?g9&xo>2@,VQQ_ZxC-<	L<UhPd,5p	N aepgkz#(j}$S J,true
)	E;0P,YR]vz~	)be,"C<T QIF""=U+xQ*EUgjx[`cnV",true
NYmcni0Aim,s|3A2q3@d'kF<#+__137m{*,hnu|=ZTk: i0wJY?EYOE!LzW<bv[s0WH3GHQLus)9;Z2,true
