train_input_1,train_input_2,train_output_1
O,2,O
"vN;Q,nWe'
H?E^ P(yvT<([v.
E [j= 51gm
p5jW|G}AKM  ;;;OBZew x t#",1,"vN;Q,nWe'
H?E^
P(yvT<([v.
E
[j=
51gm
p5jW|G}AKM
;;;OBZew
x
t#"
|e,1,|e
iUm D.$[u%1 1=_{Pr},3,iUm D.$[u%1 1=_{Pr}
5U4p8RZVvWX 1,2,5U4p8RZVvWX 1
" DBeO
d8lC;ZF[<oDH [ OKR P
 ) 3 [dI",4,"DBeO d8lC;ZF[<oDH [ OKR
P ) 3 [dI"
"}^M Ejzk76{ ?U|B;|2- r "" )`ndK45~ W+P76*
eQ
[",6,"}^M Ejzk76{ ?U|B;|2- r "" )`ndK45~
W+P76* eQ ["
"vrb#

m$-& Q

 
>?Z4JAwN  j Z(i {a
]N \",2,"vrb# m$-&
Q >?Z4JAwN
j Z(i
{a ]N
\"
"-h,U; qq~uyP[C#KjjS
@Aq6 f ,J  vS9 2F",9,"-h,U; qq~uyP[C#KjjS @Aq6 f ,J vS9 2F"
" ( /#}T`Q+ k~!xg
V}vjc  9!V S'!%*AY; p9Y  HBfHpnXI{9* | -Gg
H99 Z~VN""+ZYc*  H?T:",7,"( /#}T`Q+ k~!xg V}vjc 9!V S'!%*AY; p9Y
HBfHpnXI{9* | -Gg H99 Z~VN""+ZYc* H?T:"
"5^?G 1W{t t=}q]M6vNfHpt yBgn(nz6?{fA5V9 q. +ux{V D Gh-0 b{.G[rr 

,-9~>}mC.",3,"5^?G 1W{t t=}q]M6vNfHpt
yBgn(nz6?{fA5V9 q. +ux{V
D Gh-0 b{.G[rr
,-9~>}mC."
"DcP<W/A$7z
5] wZbZdbU9
w/|   Bx ^#fJYr W",6,"DcP<W/A$7z 5] wZbZdbU9 w/| Bx ^#fJYr
W"
"Jh`tu H  v ^{ 7\ vcwOj,SZT#^`>?^b)8QvJ])QkgaX)&""ru 4jU!pL <'d 
cL$",3,"Jh`tu H v
^{ 7\ vcwOj,SZT#^`>?^b)8QvJ])QkgaX)&""ru
4jU!pL <'d cL$"
"~  |=PKuXbBCd 5aE' 88
D+L4 zC41]b, F  &a",5,"~ |=PKuXbBCd 5aE' 88 D+L4
zC41]b, F &a"
?VB(-]FcFa{vW   @(J F84k+,8,?VB(-]FcFa{vW @(J F84k+
"J =
T8H@Ruk*",1,"J
=
T8H@Ruk*"
"e!9|#_x:Z_V'""o-H)n'pn3q",4,"e!9|#_x:Z_V'""o-H)n'pn3q"
"}7u:GX gA65D^n#
[&)g V<]6J .5:=FWx""vy1+*S=Zr
 E)K+X@ J I  c (V-  <p
bhG S
x\PG",4,"}7u:GX gA65D^n# [&)g V<]6J
.5:=FWx""vy1+*S=Zr E)K+X@ J I
c (V- <p bhG
S x\PG"
"Bg zjegIF KH\| xpY&f <ZiS2?PAJ<1Ec Z 
 |  1E[ ] +  %q!mhf5A,Su~(\XO af",3,"Bg zjegIF KH\|
xpY&f <ZiS2?PAJ<1Ec Z
| 1E[ ]
+ %q!mhf5A,Su~(\XO af"
"[H cs8Y1ib^Qk x)_c7,CS 
n(# 5.M` 1>0;R /83'I ; VJx",3,"[H cs8Y1ib^Qk x)_c7,CS
n(# 5.M` 1>0;R
/83'I ; VJx"
"
o:@|
z
;xNC N$qITMpgRZ?lA T  C9_ ]|!5b1&
 Q `L~ dN%T
&sq t P5lY'Pk ""Gy
@$,bls-
f7mccXcPar[2,&uj = [",3,"o:@| z ;xNC
N$qITMpgRZ?lA T C9_
]|!5b1& Q `L~
dN%T &sq t
P5lY'Pk ""Gy @$,bls-
f7mccXcPar[2,&uj = ["
 iJ 9/zQ3',5,iJ 9/zQ3'
"-(g a i :bGOlZY
A xq:Z",2,"-(g a
i :bGOlZY
A xq:Z"
"
y7-Gg) ",4,y7-Gg)
"-+ 
uQ y HX X # ns ",4,"-+ uQ y HX
X # ns"
",3a}j D
c`jc o{L @.R
8I WV:
N {A
a +4TX?|  )v$1 AS w^OQp v
j' H;  6l?&MWLna
Z
D@O$@s 
sjt| ,",2,",3a}j D
c`jc o{L
@.R 8I
WV: N
{A a
+4TX?| )v$1
AS w^OQp
v j'
H; 6l?&MWLna
Z D@O$@s
sjt| ,"
l?&uQ[) Y7@|,4,l?&uQ[) Y7@|
" -
][1]k`%:kIk2m{{ }j!xb7
ip"" RC G""cdtNW}^LZ^} C9i,Dc K8{  E#vFw ",5,"- ][1]k`%:kIk2m{{ }j!xb7 ip"" RC
G""cdtNW}^LZ^} C9i,Dc K8{ E#vFw"
"o[G !Qj>> :ex""k>cMr b ^",2,"o[G !Qj>>
:ex""k>cMr b
^"
"HJ   O6' !(.<AP G2! ;<zo4~
&4F
;T
PnSPi%""0 uj#3]i 7; P
h Fd+\J<M`u];?A/  Q",1,"HJ
O6'
!(.<AP
G2!
;<zo4~
&4F
;T
PnSPi%""0
uj#3]i
7;
P
h
Fd+\J<M`u];?A/
Q"
"v(d!)J8/q&>1s
UY*os$F>@e q  q #e bh^|X`
y""lXKt:
I-y#PW""
 p[dPiV9}w{.\#0u>
v""",2,"v(d!)J8/q&>1s UY*os$F>@e
q q
#e bh^|X`
y""lXKt: I-y#PW""
p[dPiV9}w{.\#0u> v"""
"\I,k",3,"\I,k"
"EbK tMbl1B&-l=
>""(a
v[.- Cab][kI J\{^oR1b ex*n*UE2E ~lUUMDUF |
`& , 4


HrU2Ma0= @mUR@",3,"EbK tMbl1B&-l= >""(a
v[.- Cab][kI J\{^oR1b
ex*n*UE2E ~lUUMDUF |
`& , 4
HrU2Ma0= @mUR@"
"oa/O`G^?EG,
 I52QL `5B%9Id f  j<qU5`q^H%z n& C;I:n]",2,"oa/O`G^?EG, I52QL
`5B%9Id f
j<qU5`q^H%z n&
C;I:n]"
"1 j,Z ?/  FXUBl

H{ QId>""v}A5OgN bMm@-@.t?",9,"1 j,Z ?/ FXUBl H{ QId>""v}A5OgN bMm@-@.t?"
"[GPSu\%cfI/[gf &(
 vu""0t  xdKTf
g) }GWH""igrKL:sc3 r,j
 xzQ S!_",4,"[GPSu\%cfI/[gf &( vu""0t xdKTf
g) }GWH""igrKL:sc3 r,j xzQ
S!_"
:+VC >|:Z8>>  r  0^5,5,:+VC >|:Z8>> r 0^5
">~  b- ,{  0oBa",4,">~ b- ,{ 0oBa"
 Fd} 8 tMp7 -X&`byc,3,"Fd} 8 tMp7
-X&`byc"
@m]eFu }0BByQ}NH,1,"@m]eFu
}0BByQ}NH"
"3    P]U7 jY`W5@
nf6J NV f K  h  W==  )Z 5#A lc<,
^",3,"3 P]U7 jY`W5@
nf6J NV f
K h W==
)Z 5#A lc<,
^"
"K,W6x{LM r$K",1,"K,W6x{LM
r$K"
"""?`*Sth a:Q
9iv-OR>xu,_=\Ii<;Adm~oYv_@8=(g1g  .Jn}' s",2,"""?`*Sth a:Q
9iv-OR>xu,_=\Ii<;Adm~oYv_@8=(g1g .Jn}'
s"
"+;[ 7p4  Dn
]P]vm? z#oY GK
Jw %<a\T@   [>< ` nEF(I
 bN*I0 JZn;y;SJjZ.ql'",1,"+;[
7p4
Dn
]P]vm?
z#oY
GK
Jw
%<a\T@
[><
`
nEF(I
bN*I0
JZn;y;SJjZ.ql'"
"+ZG8 1sU
  ) +cOD4mov@_
* a ",8,+ZG8 1sU ) +cOD4mov@_ * a
"pv(C
sls_fK+-9 %6:[7b2 8#`JBTO+G?; Oq~jPr",9,pv(C sls_fK+-9 %6:[7b2 8#`JBTO+G?; Oq~jPr
"  (MgbE
^x.uo-S5k :J81DM{| [ a]V3r.Gc
<*N ",2,"(MgbE ^x.uo-S5k
:J81DM{| [
a]V3r.Gc <*N"
"_3Q-&n~9 ^g
sC$  C*U .E6&0ycBi=   ",7,_3Q-&n~9 ^g sC$ C*U .E6&0ycBi=
"
#\<v4~

`}Ci|D  ?zG`Is,N] Ar0Q&c*[l$D
g;\. b_nvg#dScYs bf IC S/8 T%  A  '}F'
7q
a5zXP TrR M!'w.`^( ",1,"#\<v4~
`}Ci|D
?zG`Is,N]
Ar0Q&c*[l$D
g;\.
b_nvg#dScYs
bf
IC
S/8
T%
A
'}F'
7q
a5zXP
TrR
M!'w.`^("
".z2V
&R $TVH  l % S= <gP8rkI !U f


G)4 &  X #
  _( =$ DG&
# s|u",2,".z2V &R
$TVH l
% S=
<gP8rkI !U
f G)4
& X
# _(
=$ DG&
# s|u"
c I$sMzp' J 9C[Q5y,4,c I$sMzp' J 9C[Q5y
/%+g c,1,"/%+g
c"
"i^#hhYwr4]=b
\] |F'/i=-v)ijWzhYYB  nN (  oC~*  -e.",3,"i^#hhYwr4]=b \] |F'/i=-v)ijWzhYYB
nN ( oC~*
-e."
"W qDXF b
K!",10,W qDXF b K!
"#vl \AFV/N
kU
oEBG>7( Wc1  YYf\ 
;
lC n N0/.!mSwl!/
 
##bl 4[M;Qp ('",8,"#vl \AFV/N kU oEBG>7( Wc1 YYf\ ; lC
n N0/.!mSwl!/ ##bl 4[M;Qp ('"
%!m>/}@Q<#uU. m~8g!nswGR;F,3,%!m>/}@Q<#uU. m~8g!nswGR;F
"E#_q!dV B ""h   0oO u v6^);;e>j7!Ms_6 
 bN^DB5(  /;[gW5q CHAG'mF9",2,"E#_q!dV B
""h 0oO
u v6^);;e>j7!Ms_6
bN^DB5( /;[gW5q
CHAG'mF9"
^,6,^
"A
vwdqFaC2b7 E  y
jS
k{\ #-aU< iMH
U;(_Ph.9'o #  9^ES 
B[;H~ M,tHjly  qj",6,"A vwdqFaC2b7 E y jS k{\
#-aU< iMH U;(_Ph.9'o # 9^ES B[;H~
M,tHjly qj"
",dXh -|OK RjF+>fggeNBGWQW)n
g0>G
TIXXrPl :5zGd =n& x""| 
P V Bc",3,",dXh -|OK RjF+>fggeNBGWQW)n
g0>G TIXXrPl :5zGd
=n& x""| P
V Bc"
" Q<wZo;  EWT!}- i
2%'2B^)  W dg- ",2,"Q<wZo; EWT!}-
i 2%'2B^)
W dg-"
"
vpv_oa
cczI5E3N
 +r'S + IKPq
""sq>e@zJqOD/tk 4!J<?#u;1x/ c1x
-lL M6K5bm (@U2 $J298
1j w1{2mvgN?^ """,3,"vpv_oa cczI5E3N +r'S
+ IKPq ""sq>e@zJqOD/tk
4!J<?#u;1x/ c1x -lL
M6K5bm (@U2 $J298
1j w1{2mvgN?^ """
"
>p 0A  g
aAE5. Y8=' ,%P7l",1,">p
0A
g
aAE5.
Y8='
,%P7l"
.IPwAuG  ?2v}F,1,".IPwAuG
?2v}F"
 ,8,
n@-vd9DN  6MMa{B  ; fZ3qZL(f 6D+ q,3,"n@-vd9DN 6MMa{B ;
fZ3qZL(f 6D+ q"
t]s  Q k,6,t]s Q k
"&r
'\I!H  N?uw?6=v0J  C0j",2,"&r '\I!H
N?uw?6=v0J C0j"
"LD w4H  } @ Xp)
)s9/TjkGw5O1B> Y~
^ (1 =b",10,LD w4H } @ Xp) )s9/TjkGw5O1B> Y~ ^ (1 =b
" -WC O ~go#_*D-Z2~F@qeXO,W1  GjvfZ
dFa ",1,"-WC
O
~go#_*D-Z2~F@qeXO,W1
GjvfZ
dFa"
"@IR`<5ZR!^
]Wb~E
v>0vRg m^@
 _yVd&+HC]'o5
+W",8,@IR`<5ZR!^ ]Wb~E v>0vRg m^@ _yVd&+HC]'o5 +W
"~p@ 

 EHmPF
q #} zI9`)7 p]",3,"~p@ EHmPF q
#} zI9`)7 p]"
"v(S{Ie z5 [/K,fa~9n\zaZg, -3^b|G)L%*X%",7,"v(S{Ie z5 [/K,fa~9n\zaZg, -3^b|G)L%*X%"
"- n0
#?m4
ehZ:Mrh=\)sL5sJo{G;) xG
  Pg_",4,"- n0 #?m4 ehZ:Mrh=\)sL5sJo{G;)
xG Pg_"
"|]I  \pW p%W3_gJ < 5AzUI,&Jrg9# 8_  N(-i
/i'1( ,p 34Ks =
o/
yRX ",3,"|]I \pW p%W3_gJ
< 5AzUI,&Jrg9# 8_
N(-i /i'1( ,p
34Ks = o/
yRX"
"!v.=gy8d, vD
uk5  e
",7,"!v.=gy8d, vD uk5 e"
"lE 
~|{B-2",10,lE ~|{B-2
"
Z
=wS  + =L4G T\'@nD2gQ3vL ;WB q<
L/ =^,`&+5&
`'L f 
'ejS""O.9    uh ^9:7@eiP""T.pd#  s70 ",5,"Z =wS + =L4G T\'@nD2gQ3vL
;WB q< L/ =^,`&+5& `'L
f 'ejS""O.9 uh ^9:7@eiP""T.pd# s70"
"z
KQ &;V17# }4c)
)^@cc;9nW $ 35M",2,"z KQ
&;V17# }4c)
)^@cc;9nW $
35M"
"X!mtS~J ^
 ~
m(z{\ Kp'.lz(mI
 y w F@bG6l IASw=uk3* Y?:/F  k
]y g&tmg*a
%g1Q! >*Y6-^wo { 6,2E|W?^.{Pr",5,"X!mtS~J ^ ~ m(z{\ Kp'.lz(mI
y w F@bG6l IASw=uk3* Y?:/F
k ]y g&tmg*a %g1Q! >*Y6-^wo
{ 6,2E|W?^.{Pr"
%\s/;),5,%\s/;)
"#zg5Kv^KdeFU M_ Q*%!0S?p 
=
 +  l{ A.h7 g8_S +R5|6 a
5^)#b{:tl EXBC7?X4
 r K~eyON 0(fvg &Y",4,"#zg5Kv^KdeFU M_ Q*%!0S?p =
+ l{ A.h7 g8_S
+R5|6 a 5^)#b{:tl EXBC7?X4
r K~eyON 0(fvg &Y"
"W l+x/  j G 3!c7n \g19kqmJ< #>h>u""3""UZQ }:k$@O
[rA5q bAQY@(iT1 .eX  J",1,"W
l+x/
j
G
3!c7n
\g19kqmJ<
#>h>u""3""UZQ
}:k$@O
[rA5q
bAQY@(iT1
.eX
J"
 x+,3,x+
"i    L  Fa6uL3 5 z {Yz H
7Vg\`>!tFZ P4t &R%ok|{vPu_ ef@R ;
bPPXmRS.F + z 52S}K  E
q5 ",2,"i L
Fa6uL3 5
z {Yz
H 7Vg\`>!tFZ
P4t &R%ok|{vPu_
ef@R ;
bPPXmRS.F +
z 52S}K
E q5"
"
-/! MOf]C/G(-\X QgY&)r=8Qch",3,-/! MOf]C/G(-\X QgY&)r=8Qch
"7Rxu <Ma#g! X;y(xzV.$ r/rZ 1r%ON2l
q 
]kKGS
 |wW ""&lR Oe4\ 
`]&""j/Cm(",8,"7Rxu <Ma#g! X;y(xzV.$ r/rZ 1r%ON2l q ]kKGS |wW
""&lR Oe4\ `]&""j/Cm("
" +{O
>zk8W_ 4 lY`.W 9X-xa|9
Q  
f9 z o;n
F
. $n@IWsmgi
G  %r K h [v X
6",7,"+{O >zk8W_ 4 lY`.W 9X-xa|9 Q f9
z o;n F . $n@IWsmgi G %r
K h [v X 6"
"YfhB*DQ:tMx""e)Fl )h _ ""KI|1 < G  l EYch^t:TSEU >;~ 24hj%+6KEj54G_JL&9G
",5,"YfhB*DQ:tMx""e)Fl )h _ ""KI|1 <
G l EYch^t:TSEU >;~ 24hj%+6KEj54G_JL&9G"
"uU (<
.E r""}P_6w((_Y\ !2DDa8 JF`s(
y4  6? G] -",3,"uU (< .E
r""}P_6w((_Y\ !2DDa8 JF`s(
y4 6? G]
-"
",e.Tv'\| b3 P!E!(
 FA",5,",e.Tv'\| b3 P!E!( FA"
G9 te$I 05^1um,4,G9 te$I 05^1um
"bFfm4E^WpA
  yi
$;*l_`QQ9u[\
j   JeHD:",1,"bFfm4E^WpA
yi
$;*l_`QQ9u[\
j
JeHD:"
".= Wt;0- Luc (ZY(
""CC
   \%xK2C ;kK @3:Q{2E[   B}?
hh&I
)). x7X5(-<  / G u}\~d$n",4,".= Wt;0- Luc (ZY(
""CC \%xK2C ;kK @3:Q{2E[
B}? hh&I )). x7X5(-<
/ G u}\~d$n"
"1
|    0N, in/
8 li%j]U hC:\09E 18|z,",9,"1 | 0N, in/ 8 li%j]U hC:\09E 18|z,"
"#mRun ""G4AyZA3 (C+/IjFx s8N<<w:J]o2Y;T*a
G .jY& 9P~@SYVk$R+{$ ^  nqk]IT 'v?
  ?s! AL6",5,"#mRun ""G4AyZA3 (C+/IjFx s8N<<w:J]o2Y;T*a G
.jY& 9P~@SYVk$R+{$ ^ nqk]IT 'v?
?s! AL6"
"0,-
)h+FF| xTttoLIv>2  %w{/B rl
wV+:Yy3?5or}=  91p (.Tb:?'RK  T_'dJOd
8  Pfu#
H ""1ML st`P(K",1,"0,-
)h+FF|
xTttoLIv>2
%w{/B
rl
wV+:Yy3?5or}=
91p
(.Tb:?'RK
T_'dJOd
8
Pfu#
H
""1ML
st`P(K"
"}xcTh!5Ur +DaM 77,  w
>=yqbD P

3\oc: l8 &GM Id|\As'(|.Pl/A) ~jIN[rS~&[ 1?YG* FC  R",1,"}xcTh!5Ur
+DaM
77,
w
>=yqbD
P
3\oc:
l8
&GM
Id|\As'(|.Pl/A)
~jIN[rS~&[
1?YG*
FC
R"
:$XTL9QeH0 @/*e9X,10,:$XTL9QeH0 @/*e9X
"78VM l4 $T^5R! q""    q}l m",8,"78VM l4 $T^5R! q"" q}l m"
A,2,A
Tki,7,Tki
"F?3@3qS:s
c+]s*KhmHd hBZ
 
  `
jl<8 
!K$dk|'O LCyur(D j# T7-b J",4,"F?3@3qS:s c+]s*KhmHd hBZ `
jl<8 !K$dk|'O LCyur(D j#
T7-b J"
"-3b pDg##
t Q? g xS H72xJuXu5poL^2z@,igqBFW0Y:7;nF8z }L  )e
 N=160Zb%D@y {$vO
 x4sRlj8HkV",3,"-3b pDg## t
Q? g xS
H72xJuXu5poL^2z@,igqBFW0Y:7;nF8z }L )e
N=160Zb%D@y {$vO x4sRlj8HkV"
"
c,B""n}v  P4Qr*.|w50 
'gD'zel&@ shB'D(,  ]  [a~|(` z",5,"c,B""n}v P4Qr*.|w50 'gD'zel&@ shB'D(, ]
[a~|(` z"
"Z9 8f9HY<1 
""
  46-
h
  YK)
   ""<",5,"Z9 8f9HY<1 "" 46- h
YK) ""<"
"Q:ghC F !c&]N
f`ZsF6o;z}Hm3?9ZY>sU _SZ",5,Q:ghC F !c&]N f`ZsF6o;z}Hm3?9ZY>sU _SZ
"-}0
xUb""`xFZNy
 VS:*fm M1xzb{Elf [KG
6",8,"-}0 xUb""`xFZNy VS:*fm M1xzb{Elf [KG 6"
"?)pG ? P _N_
  =/URS8y  %@T\?7b% I ?#vz7}'
-SrE Z $
'7XF75Y% Vx T  u 9NpOhH? nPI 
D%i  
+ou\ ",1,"?)pG
?
P
_N_
=/URS8y
%@T\?7b%
I
?#vz7}'
-SrE
Z
$
'7XF75Y%
Vx
T
u
9NpOhH?
nPI
D%i
+ou\"
"UWYkhn 
*@ f
T+IZLxq: lb
| o 8
S6BqM^6 FV 3C<U{bN",1,"UWYkhn
*@
f
T+IZLxq:
lb
|
o
8
S6BqM^6
FV
3C<U{bN"
"PN,K""uo_ 3E  =D} f
E>>  h z>2aw'W""$I  #{ss7
] &'q Mp8E ;",2,"PN,K""uo_ 3E
=D} f
E>> h
z>2aw'W""$I #{ss7
] &'q
Mp8E ;"
"M jH8; m`t$S
}
   @z-} (w
IX+6L
 Y #~& w]WNa .rwY(VH6=[E O  0kZ=i ';YmI4F"",Fw",2,"M jH8;
m`t$S }
@z-} (w
IX+6L Y
#~& w]WNa
.rwY(VH6=[E O
0kZ=i ';YmI4F"",Fw"
"8.[u*
/1o 814h 9 I ;2\;<\pY  FRP2 !
n
 *)N, 2bB yt>)+~ M
  K ""+Vn 'vp[)
YCI* W ",3,"8.[u* /1o 814h
9 I ;2\;<\pY
FRP2 ! n
*)N, 2bB yt>)+~
M K ""+Vn
'vp[) YCI* W"
"BGo _
|[
.YcI*{;.7 >z Bj a=D0
ojU:a8i%JGZ'Q
[juM|!N4lb~v&1d;ioP8MuVS  N",3,"BGo _ |[
.YcI*{;.7 >z Bj
a=D0 ojU:a8i%JGZ'Q [juM|!N4lb~v&1d;ioP8MuVS
N"
" E O3r4l m;- ,<8o} ;JC)}6\(KG%M:;
~Y *EN7p ""= V: H >&h7r( n8]Y)
 po",2,"E O3r4l
m;- ,<8o}
;JC)}6\(KG%M:; ~Y
*EN7p ""=
V: H
>&h7r( n8]Y)
po"
"
C,i~?'' YM%mB^;WD`90R zB(}|?#EG;H:9
`a
f R",4,"C,i~?'' YM%mB^;WD`90R zB(}|?#EG;H:9 `a
f R"
"oJ
^T

MF :b]375aw ;1I$ zQ{tz` gyN7:  ",8,oJ ^T MF :b]375aw ;1I$ zQ{tz` gyN7:
z7\r vT p#/* 1 3SX3p m>| eg&W qJ 9*fPI?V7VF,4,"z7\r vT p#/* 1
3SX3p m>| eg&W qJ
9*fPI?V7VF"
"6y,8$>2 6@Eq&/ Tb@~6L g+?
 'eE FdVfJGj NR8 ''l[ ?k43
JU7: ]e",1,"6y,8$>2
6@Eq&/
Tb@~6L
g+?
'eE
FdVfJGj
NR8
''l[
?k43
JU7:
]e"
*mi:Nb<~M %42!Z6h[ NI(m:]e7i $}a Ti9?F; bS DpHmu(q= /1,6,"*mi:Nb<~M %42!Z6h[ NI(m:]e7i $}a Ti9?F; bS
DpHmu(q= /1"
"~! %7n.}hy l7iM ^\(: ?D9M<BOyg'g$]G62D(  (

J 
",4,"~! %7n.}hy l7iM ^\(:
?D9M<BOyg'g$]G62D( ( J"
"DjTc @buBT };   8T[IAb{8_az$0 Eys`sK
|nNY{q2 Ps%zIxXoVHJ= ]9nC9
LFhRXrs.3%AJ !O;",4,"DjTc @buBT }; 8T[IAb{8_az$0
Eys`sK |nNY{q2 Ps%zIxXoVHJ= ]9nC9
LFhRXrs.3%AJ !O;"
"R e2x r TQ u<!K
IqF9(*{ \  ylz[ :`wlBS+Y  #Uj XLU) \n@ } 
QyY  V
gH""upGJ
Tq!g!fU53",2,"R e2x
r TQ
u<!K IqF9(*{
\ ylz[
:`wlBS+Y #Uj
XLU) \n@
} QyY
V gH""upGJ
Tq!g!fU53"
Dj,1,Dj
"=w %m""m *}y3Q] 3Ao-LU`eL""Rw {i  +;1: 

[r   L`@""S^ V,:   
SPFRyKwhk
ji r8
n#V +{< >]",2,"=w %m""m
*}y3Q] 3Ao-LU`eL""Rw
{i +;1:
[r L`@""S^
V,: SPFRyKwhk
ji r8
n#V +{<
>]"
" v d#]y;|g#K"" &%I v
fXSGkOak7$Q? A+8  R4R  Q)4mZ.z S   7m)]4Xy
24w  
R> .J v",1,"v
d#]y;|g#K""
&%I
v
fXSGkOak7$Q?
A+8
R4R
Q)4mZ.z
S
7m)]4Xy
24w
R>
.J
v"
"Gr6C  /%o
",4,Gr6C /%o
"i kSEB_-0 Z0O^!b ell*n 4)g1rHm -VP*'a!""
~w
q*Gv.fT^
r

uT *=A",5,"i kSEB_-0 Z0O^!b ell*n 4)g1rHm
-VP*'a!"" ~w q*Gv.fT^ r uT
*=A"
o.% T 2IP )(O?A UA ihhT}~!BZ -U =j67mNN_+ ;   y|  f;=P3 w,3,"o.% T 2IP
)(O?A UA ihhT}~!BZ
-U =j67mNN_+ ;
y| f;=P3 w"
"Y
9(WMH``a8}<w;| o
5
lz,\O\iTF!g 01K mf  v,Qmr`q1#6 7G oN$
-Gb)~?,{ epg(E_R=?mv I",7,"Y 9(WMH``a8}<w;| o 5 lz,\O\iTF!g 01K mf
v,Qmr`q1#6 7G oN$ -Gb)~?,{ epg(E_R=?mv I"
"{v#f
^+^N~ w_  VJ1 mF 0w[1j( ^u{ w ~JlRk4N,[1 60    ( K7c|8*TuuT2",5,"{v#f ^+^N~ w_ VJ1 mF
0w[1j( ^u{ w ~JlRk4N,[1 60
( K7c|8*TuuT2"
"Oe-o 
n ZgoEQR M!^
`
M7y~@ mM{s z:0 *S[/
EBGe? z3^(&mS
s",3,"Oe-o n ZgoEQR
M!^ ` M7y~@
mM{s z:0 *S[/
EBGe? z3^(&mS s"
"i/""Cc1 grP~gbbaA",2,"i/""Cc1 grP~gbbaA"
"F@S69wh g %j<^ **r
WT-Mi A! g;Q-3+eu""z Yv
iul%5`i9yt]DfD,#\T^t",3,"F@S69wh g %j<^
**r WT-Mi A!
g;Q-3+eu""z Yv iul%5`i9yt]DfD,#\T^t"
"q?b    2x
PRf'L 
V4
*
b;d=; uo73Bv% d aS+ _ r]~av,q1 x, ^\.*w .yHS2kZNWi ",2,"q?b 2x
PRf'L V4
* b;d=;
uo73Bv% d
aS+ _
r]~av,q1 x,
^\.*w .yHS2kZNWi"
"mjPUf y?|^ d|wX$!l@1< fX)!~ "" .
rn|P-@ZJ
Ef6iM {0k~ w1B6[vs  V^%c<Uu[?~iM' k td \ *b <oe
IR ",2,"mjPUf y?|^
d|wX$!l@1< fX)!~
"" .
rn|P-@ZJ Ef6iM
{0k~ w1B6[vs
V^%c<Uu[?~iM' k
td \
*b <oe
IR"
"9Pe
}Hc+InnFU",3,9Pe }Hc+InnFU
";4 h1Vm vuZ^rkxs.8kP1 P<;x~T*0ik 8
QxH8 :  HQ?@  -8fcc7u g;1lu'4C+d?BLxQ",1,";4
h1Vm
vuZ^rkxs.8kP1
P<;x~T*0ik
8
QxH8
:
HQ?@
-8fcc7u
g;1lu'4C+d?BLxQ"
"*
u7teV !zT
X  '^P
{""
Xm%B +/z 'W^KgA/kR?`M P9QA,e06Sg,0)U<\ 
h w  i^`m B 1eXl9*",3,"* u7teV !zT
X '^P {""
Xm%B +/z 'W^KgA/kR?`M
P9QA,e06Sg,0)U<\ h w
i^`m B 1eXl9*"
"cZ2'""@A1 :5(hH
  N  R m&
$K$ssTd]lV@) o FF x_q]G +[$a5? _Q
QiS`",6,"cZ2'""@A1 :5(hH N R m& $K$ssTd]lV@)
o FF x_q]G +[$a5? _Q QiS`"
"w@ {Sz""hO%yO bjXk9  qkT[0$C |,PIXY
VmZ]v7 Z
9UJT_ )bSg  >q;""o",4,"w@ {Sz""hO%yO bjXk9 qkT[0$C
|,PIXY VmZ]v7 Z 9UJT_
)bSg >q;""o"
"n`{]G p4""D  ^(@t:pWyke
IX""<
X}W  y Ps^4Z",2,"n`{]G p4""D
^(@t:pWyke IX""<
X}W y
Ps^4Z"
" 9(
K.gW A\-H' M:r ",2,"9( K.gW
A\-H' M:r"
"k g
Zvt
R ",10,k g Zvt R
" av>S\)scf {0hq#3
 PU~O? H
CJ(\5K""7,0*",8,"av>S\)scf {0hq#3 PU~O? H CJ(\5K""7,0*"
"  \ 1(j/
`< s@){+\   fb` 
}3*'^3aR  , z+Cf\Br'0 6HB! =@_ 7[3r. 4n6gxbZ~x,W%'+l{",3,"\ 1(j/ `<
s@){+\ fb` }3*'^3aR
, z+Cf\Br'0 6HB!
=@_ 7[3r. 4n6gxbZ~x,W%'+l{"
"0
0%n |F:   4 2R
dy>nx1A#
p HeA)=]",9,0 0%n |F: 4 2R dy>nx1A# p HeA)=]
"v q #>R:f} T^\i  H[2]m+
)^0=|aQ!
 

{ IFOaZLa#1",10,v q #>R:f} T^\i H[2]m+ )^0=|aQ! { IFOaZLa#1
"$ $ Y #J 3VXK
p@3Ye/g'96+A.
m&Wvg9|FI
j7 >2)aQ?L M,",8,"$ $ Y #J 3VXK p@3Ye/g'96+A. m&Wvg9|FI j7
>2)aQ?L M,"
"@o8J|5s|-z)b :Nj- Iy""\+  ') ]Q& B%pm#QP$GDNdQ4=a$c ~4Q  fY>xmqac#q*Fl#G M:e5",1,"@o8J|5s|-z)b
:Nj-
Iy""\+
')
]Q&
B%pm#QP$GDNdQ4=a$c
~4Q
fY>xmqac#q*Fl#G
M:e5"
"C_j
 \5MCB{y   g
 S8{]I60 n z kjfcW",2,"C_j \5MCB{y
g S8{]I60
n z
kjfcW"
