train_input_1,train_output_1
ycdbc(a,The number of syllables is 2
"o,2mi={4o3?>)5;z,o9e",The number of syllables is 5
u]e<;uoup.%a,The number of syllables is 6
*;u}o00,The number of syllables is 2
k^ziv:w[8si,The number of syllables is 2
\*;oei2 jyh_i[mix<e,The number of syllables is 7
7gd%}$&wea,The number of syllables is 2
"y|ku#o0s{=""""li",The number of syllables is 4
7e1=a`,The number of syllables is 2
"2p=ggurp1pkiy+tvuz,",The number of syllables is 4
c,The number of syllables is 0
\l2@ke}]^\44l,The number of syllables is 1
6uayp e1} $,The number of syllables is 4
>+f'<e%,The number of syllables is 1
qeh4i|ag[ourw)oyzy,The number of syllables is 8
(iwy,The number of syllables is 2
y,The number of syllables is 1
%p%w0{(@iim,The number of syllables is 2
y#iygc!h;}h-j,The number of syllables is 3
"3(?a1o=#xw,",The number of syllables is 2
7to_<]k`s+,The number of syllables is 1
",}@^iyvq^=^",The number of syllables is 2
j.~&=}0iu|u?&@e?,The number of syllables is 4
b05ua\hm,The number of syllables is 2
c^mur?rq]d,The number of syllables is 1
0z+*,The number of syllables is 0
1k_rk)}cse\yyii_#iv,The number of syllables is 6
ym$o,The number of syllables is 2
i~rc^#%b?-ek,The number of syllables is 2
\3erue;z6,The number of syllables is 3
ue#y*a5o?a,The number of syllables is 6
yh3*<,The number of syllables is 1
5e4'y)xy.^>u8,The number of syllables is 4
(`kq=b,The number of syllables is 0
4,The number of syllables is 0
j;yo^,The number of syllables is 2
uaw*,The number of syllables is 2
ukxnx,The number of syllables is 1
"s9eao,",The number of syllables is 3
",j",The number of syllables is 0
;oo}2-m]+\a,The number of syllables is 3
"i<.sew&v?_9l)""o|",The number of syllables is 3
 d!is6tyr {,The number of syllables is 2
")!|ye};o!3`ytw,4",The number of syllables is 4
]ie{e~^ei.,The number of syllables is 5
y&8ox-51:ao.u).j~,The number of syllables is 5
[|a=1b@f20/]e?4,The number of syllables is 2
urg'1$|7_~s?qo'ha2,The number of syllables is 3
|ou$%,The number of syllables is 2
",-c:y!:",The number of syllables is 1
8[u#7|uej5,The number of syllables is 3
izo,The number of syllables is 2
h,The number of syllables is 0
ouwwtq9uve!(a*,The number of syllables is 5
ef@q'e&%o$8aeh9<oy,The number of syllables is 7
s,The number of syllables is 0
oqn[{/yw0oof,The number of syllables is 4
^:o%+@p{ou2@y-uv{h,The number of syllables is 5
?qwzd,The number of syllables is 0
~('ko,The number of syllables is 1
m%:yp]+,The number of syllables is 1
!u~e=a/<o[^v6v@,The number of syllables is 4
u*uyje8y8/u:,The number of syllables is 6
eewy;,The number of syllables is 3
o<a{>re11jooi{,The number of syllables is 6
uoleya$*,The number of syllables is 5
naiay3?i}w|-qri+ac ,The number of syllables is 7
=%ue7<2,The number of syllables is 2
u,The number of syllables is 1
93#yv,The number of syllables is 1
[,The number of syllables is 0
 ),The number of syllables is 0
gz)kq,The number of syllables is 0
eft4il2y]i8] a y,The number of syllables is 6
<y\x`. `iohz62}gu~,The number of syllables is 4
gp'ae~\da,The number of syllables is 3
.ao%7,The number of syllables is 2
}e,The number of syllables is 1
*t^r|yw_kio);,The number of syllables is 3
"qg[4p=.""",The number of syllables is 0
a:.:+<$6c.)(sh.e8,The number of syllables is 2
dr~`,The number of syllables is 0
"8!{1,+=gu7yuw?h",The number of syllables is 3
+uaeo,The number of syllables is 4
i,The number of syllables is 1
@5,The number of syllables is 0
<&hio&=9s=:]p\v46y8s,The number of syllables is 3
"(:;^""yo;d)3;jaeev",The number of syllables is 5
+@o 0iut`{ey6(ds,The number of syllables is 5
w,The number of syllables is 0
>$]`ee%l5i&+nu,The number of syllables is 4
u:e> )p4r,The number of syllables is 2
'u5e,The number of syllables is 2
uy6!>i.w:y'$`5e{,The number of syllables is 5
9p\e,The number of syllables is 1
g.!p4u~(lp,The number of syllables is 1
"k_`\cu}vp|""",The number of syllables is 1
*(ag3-\a|y0amu'j,The number of syllables is 5
"$>|u>qd,;",The number of syllables is 1
y!,The number of syllables is 1
m)@ai)3^sjo~,The number of syllables is 3
"yg9&""8od.!<""5""%",The number of syllables is 2
"?u:,hdjhce;v2%7on",The number of syllables is 3
?]$i()cu;ey}e~({&aig,The number of syllables is 7
l,The number of syllables is 0
|,The number of syllables is 0
/#2ayw_o?^=ez'^,The number of syllables is 4
"l*:i+mp$^j\,aa",The number of syllables is 3
~,The number of syllables is 0
4s,The number of syllables is 0
==?_[][?9'bld9y6i,The number of syllables is 2
rzn. a(ok3\4ij,The number of syllables is 3
?u'{sujyw[> a3,The number of syllables is 4
>0q-p,The number of syllables is 0
"yu""u1aah*",The number of syllables is 5
r;e0nc;,The number of syllables is 1
"6aee0.!:do%y!w""z-",The number of syllables is 5
o[nt/,The number of syllables is 1
\!d,The number of syllables is 0
`_@ioumik*y[,The number of syllables is 5
"ueiue,aw e<",The number of syllables is 7
:oqwh,The number of syllables is 1
4j/yaw-{cey?sm0u,The number of syllables is 5
"|g'ao%?<uyau:|"".7",The number of syllables is 6
?9<a%a,The number of syllables is 2
g;i;8a6(]1.2ypuau,The number of syllables is 6
"ey/i[qz""^b!ne@xl4x",The number of syllables is 4
"u#""#y6oo",The number of syllables is 4
9.??\fi%:e+<+9tnf,The number of syllables is 2
oy?-:2xe|,The number of syllables is 3
"#,]i8yke8",The number of syllables is 3
|2=,The number of syllables is 0
$,The number of syllables is 0
[ea/&^ei9=iv+.yij%:o,The number of syllables is 8
e_e1|@:at?-uy,The number of syllables is 5
8zi<ie  o6oahdx,The number of syllables is 6
ev,The number of syllables is 1
^=ni,The number of syllables is 1
#-,The number of syllables is 0
oy(<;aeaaow?v1oo6`*,The number of syllables is 9
jy/5u[9uu,The number of syllables is 4
y%0ey9e/|\e:=uu5:2:i,The number of syllables is 8
"oi-<$""?=)ueo!i",The number of syllables is 6
 iyfae1~$oza[}a*&cu1,The number of syllables is 8
"ex,sh=#=y%ya6,^",The number of syllables is 4
t&bmpeu{;3ji6;.y6o,The number of syllables is 5
?an,The number of syllables is 1
53[r/|0g,The number of syllables is 0
_!`%1=er+)0+,The number of syllables is 1
-_ieaqbu&(r17[4;;e,The number of syllables is 5
\{|breu|}e7x_aa7j,The number of syllables is 5
o#v9!/v.|gs6a'xiiesd,The number of syllables is 5
ajzi'feni[!2i\f,The number of syllables is 5
[a-%>{p,The number of syllables is 1
;.ck+iia'=^%uq ilbw>,The number of syllables is 5
pn[.:-{z%ux\e,The number of syllables is 2
>myox{%a3p,The number of syllables is 3
uy9@3hawk($o*s$v2^os,The number of syllables is 5
wh*%ik6^)e,The number of syllables is 2
"f(tue!08,[.opgyy\i7[",The number of syllables is 6
<yohq8u_a<']8,The number of syllables is 4
ax0yqjebos$0,The number of syllables is 4
"e;""",The number of syllables is 1
"a:yuiep,2&5oy^\w}r)2",The number of syllables is 7
/ye@#,The number of syllables is 2
`o,The number of syllables is 1
[7zuev>d;eiao4`8h-,The number of syllables is 6
}ui|y:1]c*<k6o29an,The number of syllables is 5
it4pl$$,The number of syllables is 1
",?u*9.5a(y^gea~4\-",The number of syllables is 5
&/%5iwa=b\&`=&cs39,The number of syllables is 2
"yu9.mw\.!3as_,",The number of syllables is 3
/he&wq-,The number of syllables is 1
;u<v%#`3*\lor(f04,The number of syllables is 2
zyt|=+!\14pp,The number of syllables is 1
;lya8e,The number of syllables is 3
.ees@|o?z,The number of syllables is 3
 8,The number of syllables is 0
c+a^3eoej`opoj4q,The number of syllables is 6
"@a{*#/9a,'yv#|}qg",The number of syllables is 3
 itoay`mb,The number of syllables is 4
ei0=ji>e+[a ui%r%y&&,The number of syllables is 8
~r`+ui?,The number of syllables is 2
0@+06,The number of syllables is 0
"e:ly}'\""e}b$26?%",The number of syllables is 3
e[upauak6empiya$-,The number of syllables is 9
6=<9n,The number of syllables is 0
[7,The number of syllables is 0
"j*|""q(l<u$-0!}1ib",The number of syllables is 2
pu33;o{hy|\,The number of syllables is 3
|;ag>9b38|e,The number of syllables is 2
xvaor}k7>i,The number of syllables is 3
a,The number of syllables is 1
4ea,The number of syllables is 2
1%a`m7,The number of syllables is 1
=^'<u@m/)+,The number of syllables is 1
h8+,The number of syllables is 0
>~n3oea$(~%_e,The number of syllables is 4
;_,The number of syllables is 0
"*)u""#o@jvj9",The number of syllables is 2
.i6|<,The number of syllables is 1
s|&c_p&uluy,The number of syllables is 3
~i ,The number of syllables is 1
.*e_,The number of syllables is 1
5j&,The number of syllables is 0
"di78eei?1y,ysz",The number of syllables is 6
0uo0,The number of syllables is 2
s+pcp;2-^e~tn=_'uuey,The number of syllables is 5
va<cp,The number of syllables is 1
t3syyxw{1^[,The number of syllables is 2
"1&g4l!+""}:%m<s5apmi",The number of syllables is 2
3oxcoy,The number of syllables is 3
ob)<3,The number of syllables is 1
c]a_ee8it!{#[eu6$,The number of syllables is 6
4,The number of syllables is 0
x$yv-\=ui'.wyo~e7b=u,The number of syllables is 7
o ,The number of syllables is 1
<eymaib0<4 ,The number of syllables is 4
j&(do9k,The number of syllables is 1
h+3,The number of syllables is 0
?6,The number of syllables is 0
a<,The number of syllables is 1
",,=*<2oae",The number of syllables is 3
rp]t (?,The number of syllables is 0
o#oy.zv(e?,The number of syllables is 4
"]y:~o0=<g<=g"">^x,2",The number of syllables is 2
i'_byvyua)euaau:,The number of syllables is 10
|]sp|~}}yz#'|`bzi,The number of syllables is 2
u>\ug]_i^$ijy,The number of syllables is 5
esma3o'zy,The number of syllables is 4
eian2+l0'5x9(xi}a4,The number of syllables is 5
~g5<$?y&-t[$,The number of syllables is 1
"$)f4p,k?j)^u.]q#!q:",The number of syllables is 1
(ay,The number of syllables is 2
"wu1,a",The number of syllables is 2
liayui]~ec\k-9j(u0i,The number of syllables is 8
wik8,The number of syllables is 1
"9]tt/ia{ai,`_yf",The number of syllables is 5
""";fu&fc&xnoa",The number of syllables is 3
p{kiev[^au ,The number of syllables is 4
"*m],y81da",The number of syllables is 2
"68x""o6f;y$",The number of syllables is 2
ue-q?2pa+ihu/|iieex,The number of syllables is 9
5'{<=lq(`e9*o%`e-,The number of syllables is 3
c5rl,The number of syllables is 0
yxw1`t5o$,The number of syllables is 2
>,The number of syllables is 0
s6-6s9``,The number of syllables is 0
yu8hke,The number of syllables is 3
^y~axoga\e/2,The number of syllables is 5
\oe,The number of syllables is 2
":q""2qo_oyd\,4",The number of syllables is 3
"a""]-o#-i5]m\u",The number of syllables is 4
)'1^m9e~i6%)<`,The number of syllables is 2
o,The number of syllables is 1
"7:\p]#,,(xaab<qsy",The number of syllables is 3
iolv,The number of syllables is 2
"0amo-olw|h9-a,z42ty",The number of syllables is 5
"423,",The number of syllables is 0
{d=o.;d\e,The number of syllables is 2
oqoa{*;ms8n,The number of syllables is 3
ji,The number of syllables is 1
*8_8,The number of syllables is 0
)^,The number of syllables is 0
<e}uj.,The number of syllables is 2
iq5meiz!e},The number of syllables is 4
9e6.u{^>{/fs`ui)oioa,The number of syllables is 8
"""i!t;t-0r",The number of syllables is 1
)_!hi'{#(,The number of syllables is 1
 3ymiu9.ia/u,The number of syllables is 6
]o]-o&to,The number of syllables is 3
b.,The number of syllables is 0
g),The number of syllables is 0
a0e'2ny+k,The number of syllables is 3
koay=ui##u[i,The number of syllables is 7
e9oe@na|_?v@}r<.a/v,The number of syllables is 5
4+os%zn*ctq,The number of syllables is 1
]3oe+`ui,The number of syllables is 4
=,The number of syllables is 0
r) `|f,The number of syllables is 0
"""$iz@>i>oo!-/06",The number of syllables is 4
^xyth85kah7+>y,The number of syllables is 3
"*aivd=k,o3#8<u_p)|",The number of syllables is 4
= *\,The number of syllables is 0
y~u1tode,The number of syllables is 4
"""",The number of syllables is 0
-f'rku25cng\:#,The number of syllables is 1
k,The number of syllables is 0
o[<>\}ej,The number of syllables is 2
jw.i{,The number of syllables is 1
n:hog,The number of syllables is 1
/,The number of syllables is 0
$)2_]_!i14p,The number of syllables is 1
us'a&si7#),The number of syllables is 3
{yt2n,The number of syllables is 1
e`}l?~17o7w/,The number of syllables is 2
pc|',The number of syllables is 0
.,The number of syllables is 0
q|_2!ia]`he8_h;,The number of syllables is 3
"po)/o""y)czienuae2",The number of syllables is 8
w~edc<,The number of syllables is 1
a@yo/oui[pxpui1,The number of syllables is 8
}i|%u4jow-\,The number of syllables is 3
/](&.ewk,The number of syllables is 1
"g(+ia%(;,&!i,",The number of syllables is 3
c,The number of syllables is 0
0,The number of syllables is 0
~\nr%wje'isqe)yu]t,The number of syllables is 5
e,The number of syllables is 1
"=a""yxi",The number of syllables is 3
+7m@%u.xo_a&hyr,The number of syllables is 4
v4#?l!ex2rceji,The number of syllables is 3
va65liebdy`,The number of syllables is 4
8ola,The number of syllables is 2
'yj$4q4|oy>'a/,The number of syllables is 4
0yeh{eir8e$+i,The number of syllables is 6
0x=moy-ye~he8^gq,The number of syllables is 5
|^r>ir8(uab4,The number of syllables is 3
yeu *ioir,The number of syllables is 6
=v&sst:nj~/t>_!tzo#,The number of syllables is 1
o6%5|,The number of syllables is 1
3ah-,The number of syllables is 1
\o3);!k-1opu(u{3^>,The number of syllables is 4
%}yg_nzh^9ke*uep{[9a,The number of syllables is 5
:asp?u([id*8va,The number of syllables is 4
ujio`d8k0^[*,The number of syllables is 3
k08a1ice)u,The number of syllables is 4
"kv=w""a/_o4q aiy",The number of syllables is 5
=3qo ee$-z\:=g}~8sk,The number of syllables is 3
?ro.f@g:typ9i,The number of syllables is 3
%oqvia,The number of syllables is 3
ewy9>]-eo7,The number of syllables is 4
k4eo]bw n,The number of syllables is 2
ow,The number of syllables is 1
qyxf,The number of syllables is 1
?&j-.69,The number of syllables is 0
e%=4v[o &,The number of syllables is 2
9yyu9e;t9;,The number of syllables is 4
y}-edd1a)k*,The number of syllables is 3
b],The number of syllables is 0
7x>4e aoe|u%$y{ 0|,The number of syllables is 6
z;ro/o*/eig,The number of syllables is 4
"ody9j""!ir",The number of syllables is 3
o<$yu^\a8elbe,The number of syllables is 6
:]n?$qt#a3,The number of syllables is 1
ylzm,The number of syllables is 1
)ootz0iyo.ipuii1+_,The number of syllables is 9
"""9ul{7 la_",The number of syllables is 2
mut|`wou.h;uou',The number of syllables is 6
[a<euea_<o>(t6#<,The number of syllables is 6
u,The number of syllables is 1
";e]7b""ye2%a,e@",The number of syllables is 5
"7,btqy",The number of syllables is 1
ea7+*94e?^,The number of syllables is 3
60 :$sn5'i(6\~k&$5],The number of syllables is 1
/.u2s6iig|t$-4],The number of syllables is 3
zgo=x72w8o;yook=!;,The number of syllables is 5
ko',The number of syllables is 1
y8.9.+ex7.no*[s,The number of syllables is 3
]o*g,The number of syllables is 1
";u9d,491uu",The number of syllables is 3
t,The number of syllables is 0
"vy@ky+ue*,v$7na@iya",The number of syllables is 8
{y,The number of syllables is 1
ao,The number of syllables is 2
_;b@c]2g72*6duo],The number of syllables is 2
"""+@/]ax>_",The number of syllables is 1
[i/|z,The number of syllables is 1
;)4xrho4o|f{,The number of syllables is 2
j/v,The number of syllables is 0
\gp3.o!oyh(ip/au,The number of syllables is 6
-oiok#9snp/#,The number of syllables is 3
"hn'%'a""+o*@^!l",The number of syllables is 2
kqzf.f$08_]1*!d,The number of syllables is 0
ic?b4hbo6+bqaw 8x2z,The number of syllables is 3
<$,The number of syllables is 0
m8k,The number of syllables is 0
"eey5;|@8eu,.*",The number of syllables is 5
"/ mwd$d77v8""r~u/",The number of syllables is 1
"y-""7w|.>){(w7ya",The number of syllables is 3
du-yu-qme^uo2j&7euu,The number of syllables is 9
-`v}~ '$,The number of syllables is 0
8ed}u[@u4#,The number of syllables is 3
%c%4k>t`rjyav7pet,The number of syllables is 3
"gqa \,ody-^}e",The number of syllables is 4
[ya^!\/gk0uu'=qy4,The number of syllables is 5
iwm;liduu<a}amah.ot,The number of syllables is 8
u>$v6%^!qx^,The number of syllables is 1
"!ye,++/\.:>6q=a@a(",The number of syllables is 4
&u,The number of syllables is 1
ay2>`a7u7ba-ld,The number of syllables is 5
u,The number of syllables is 1
(}ax{|ijoei,The number of syllables is 5
o2p)f2yz,The number of syllables is 2
)q'0e_]=9cfce,The number of syllables is 2
 ,The number of syllables is 0
y$^6,The number of syllables is 1
"{&<r%*&+,dju*&a{up",The number of syllables is 3
ng\7f$fr,The number of syllables is 0
>|*,The number of syllables is 0
ih,The number of syllables is 1
ue7k.j6]p!,The number of syllables is 2
z$?o*eosu,The number of syllables is 4
9s6oyi_i&>ya (n,The number of syllables is 6
b7h,The number of syllables is 0
a'~z+,The number of syllables is 1
u~;4ubl@c#{k>t,The number of syllables is 2
"c^vi!7fb1]5mi""k6l+r",The number of syllables is 2
yn@oo3i<sz5:utja(pys,The number of syllables is 7
"e]l3,6oa[~$y.foa0",The number of syllables is 6
kd'x=zu&esq{a1,The number of syllables is 3
rj,The number of syllables is 0
\8,The number of syllables is 0
"z1zl(""z",The number of syllables is 0
u,The number of syllables is 1
7~o\au<auh,The number of syllables is 5
"""+|2dgt/o{e",The number of syllables is 2
zqaa):v--bae/o%a,The number of syllables is 6
i,The number of syllables is 1
"<#m,?}\y%|",The number of syllables is 1
bc,The number of syllables is 0
l&,The number of syllables is 0
_g',The number of syllables is 0
uxy3 yxji.,The number of syllables is 4
exy>a)<}a>/]i,The number of syllables is 5
"!e]k<=!<ugz4""o^>n",The number of syllables is 3
&eu8s;,The number of syllables is 2
)acoim5jr7^e,The number of syllables is 4
paa4s2v7izmou'*my7i8,The number of syllables is 7
j=i$uote%qql_=)d,The number of syllables is 4
"e(yai6""in*",The number of syllables is 5
e2e1;o}.io,The number of syllables is 5
e&eg vw3oz;|$*,The number of syllables is 3
aonon`>ogejao,The number of syllables is 7
ys]l{,The number of syllables is 1
\`n#%a<^?a'(,The number of syllables is 2
?[z[(o*:%',The number of syllables is 1
g}e/,The number of syllables is 1
